Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Offense Four Factors,Offense Four Factors.1,Offense Four Factors.2,Offense Four Factors.3,Defense Four Factors,Defense Four Factors.1,Defense Four Factors.2,Defense Four Factors.3,Unnamed: 25,Unnamed: 26,Unnamed: 27
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,Milwaukee Bucks,29.2,36,6,35,7,12.62,-1.27,11.35,113.7,101.7,+12.0,104.7,.270,.427,.585,.555,12.3,21.1,.198,.486,12.4,81.2,.168,Fiserv Forum,370052,17622
2,Los Angeles Lakers,29.6,33,7,30,10,8.80,0.18,8.98,113.2,104.5,+8.7,100.3,.263,.344,.579,.548,13.1,24.3,.195,.499,13.9,78.3,.204,STAPLES Center,379940,18997
3,Dallas Mavericks,26.0,25,15,29,11,7.38,0.12,7.49,117.1,109.6,+7.5,98.6,.269,.456,.580,.545,11.4,24.6,.207,.509,11.0,76.8,.182,American Airlines Center,440391,20018
4,Los Angeles Clippers,27.4,28,13,28,13,6.17,0.30,6.47,112.5,106.5,+6.0,102.5,.290,.364,.571,.529,13.4,24.8,.228,.504,13.1,77.1,.213,STAPLES Center,419496,19068
5,Boston Celtics,25.1,27,11,27,11,7.11,-1.20,5.90,112.0,104.8,+7.2,99.3,.246,.376,.563,.524,12.3,24.0,.199,.507,14.0,77.5,.191,TD Garden,361836,19044
6,Toronto Raptors,26.6,25,14,26,13,5.10,0.35,5.45,109.3,104.3,+5.0,99.9,.255,.409,.559,.520,13.0,22.5,.203,.495,14.2,75.6,.188,Scotiabank Arena,415463,19784
7,Houston Rockets,28.8,26,13,25,14,5.08,-0.50,4.58,114.3,109.5,+4.8,103.5,.294,.486,.579,.539,12.8,24.0,.230,.524,12.9,76.9,.184,Toyota Center,325241,18069
8,Philadelphia 76ers,26.6,25,16,25,16,3.24,0.23,3.47,109.4,106.1,+3.3,99.1,.246,.343,.560,.528,13.2,24.0,.184,.514,12.8,81.0,.209,Wells Fargo Center,411677,20584
9,Denver Nuggets,25.8,27,12,24,15,3.72,-0.30,3.42,111.4,107.6,+3.8,97.1,.235,.335,.553,.520,11.8,24.7,.181,.517,13.1,77.0,.193,Pepsi Center,398269,18965
10,Utah Jazz,27.6,28,12,25,15,3.88,-0.45,3.42,110.8,106.9,+3.9,99.0,.272,.387,.582,.547,13.8,20.4,.209,.502,11.4,78.9,.182,Vivint Smart Home Arena,329508,18306
11,Miami Heat,25.4,27,12,24,15,3.72,-0.59,3.13,111.6,107.9,+3.7,98.5,.309,.397,.586,.547,14.4,21.6,.238,.514,12.5,79.5,.211,AmericanAirlines Arena,354748,19708
12,Indiana Pacers,25.5,25,15,24,16,3.13,-0.63,2.50,110.4,107.3,+3.1,98.3,.218,.311,.559,.526,11.6,21.3,.174,.506,12.7,77.1,.192,Bankers Life Fieldhouse,343079,16337
13,Oklahoma City Thunder,25.6,23,17,22,18,1.83,0.42,2.24,109.9,108.1,+1.8,98.3,.286,.349,.568,.526,12.6,20.1,.228,.513,12.6,76.9,.164,Chesapeake Energy Arena,364060,18203
14,Orlando Magic,26.0,19,21,20,20,0.25,0.13,0.38,105.8,105.5,+0.3,98.1,.258,.349,.530,.490,11.6,22.0,.199,.517,13.8,78.3,.166,Amway Center,351820,16753
15,San Antonio Spurs,28.3,17,21,18,20,-1.05,0.55,-0.50,111.3,112.3,-1.0,100.7,.249,.307,.566,.530,11.6,21.0,.197,.531,10.9,79.4,.185,AT&T Center,367832,18392
16,Phoenix Suns,25.1,16,24,19,21,-1.18,-0.49,-1.66,109.9,111.0,-1.1,102.1,.270,.372,.567,.526,12.7,21.2,.217,.541,14.1,78.6,.222,Talking Stick Resort Arena,357682,15349
17,Portland Trail Blazers,27.5,17,24,18,23,-2.27,0.22,-2.05,110.1,112.4,-2.3,101.0,.238,.369,.555,.516,11.5,21.7,.193,.514,11.1,75.3,.209,Moda Center,373922,19680
18,Memphis Grizzlies,24.1,19,22,18,23,-2.37,0.26,-2.11,109.8,112.1,-2.3,103.2,.220,.361,.568,.536,13.3,22.3,.174,.532,12.7,78.4,.224,FedEx Forum,357243,15532
19,New Orleans Pelicans,25.6,15,26,16,25,-3.73,1.41,-2.33,108.9,112.5,-3.6,102.9,.232,.417,.555,.526,13.2,23.3,.171,.536,12.6,78.1,.220,Smoothie King Center,304107,16006
20,Brooklyn Nets,26.4,18,21,18,21,-1.56,-0.86,-2.42,106.1,107.6,-1.5,102.0,.262,.412,.544,.510,13.6,22.9,.193,.499,11.3,77.7,.189,Barclays Center,330273,16514
21,Chicago Bulls,24.1,14,27,18,23,-2.05,-0.47,-2.52,105.3,107.3,-2.0,99.9,.238,.395,.539,.504,13.4,22.3,.182,.526,15.9,75.7,.237,United Center,399800,19038
22,Sacramento Kings,27.3,15,25,16,24,-2.78,-0.02,-2.80,107.6,110.4,-2.8,97.9,.222,.388,.555,.522,13.9,22.4,.174,.533,13.6,77.9,.214,Golden 1 Center,336851,16843
23,Minnesota Timberwolves,25.3,15,24,16,23,-3.15,-0.28,-3.43,106.7,109.7,-3.0,102.8,.280,.427,.540,.501,13.0,23.1,.212,.519,13.3,76.1,.216,Target Center,247119,13729
24,Detroit Pistons,26.1,14,27,17,24,-2.98,-0.55,-3.53,109.0,112.0,-3.0,98.8,.269,.371,.564,.531,14.1,22.6,.200,.538,12.8,76.1,.183,Little Caesars Arena,328130,15403
25,Washington Wizards,25.4,13,26,14,25,-5.03,0.15,-4.87,111.2,116.0,-4.8,103.0,.253,.352,.558,.523,11.8,22.8,.196,.555,13.4,74.9,.236,Capital One Arena,310671,16351
26,Charlotte Hornets,24.6,15,28,13,30,-6.65,-0.42,-7.07,106.6,113.4,-6.8,96.8,.255,.402,.543,.509,13.5,23.7,.191,.551,13.4,74.6,.160,Spectrum Center,304793,15240
27,New York Knicks,24.3,11,30,10,31,-8.39,0.84,-7.55,105.3,113.7,-8.4,99.3,.267,.338,.523,.492,12.2,24.8,.185,.547,12.7,77.3,.222,Madison Square Garden (IV),359524,18922
28,Cleveland Cavaliers,25.0,12,29,10,31,-9.15,1.38,-7.77,105.8,115.1,-9.3,98.6,.229,.361,.545,.513,14.5,23.7,.174,.554,11.4,76.7,.157,Quicken Loans Arena,361597,18080
29,Golden State Warriors,24.6,9,33,10,32,-8.64,0.36,-8.29,103.5,112.1,-8.6,100.2,.265,.330,.528,.483,13.1,22.4,.214,.544,14.1,75.9,.186,,361280,
30,Atlanta Hawks,24.1,9,32,10,31,-9.46,1.00,-8.47,103.4,112.5,-9.1,103.1,.246,.393,.539,.504,14.3,20.6,.188,.535,13.4,74.4,.226,State Farm Arena,303254,15961
,League Average,26.1,,,20,20,0.31,-0.01,0.30,109.6,109.3,,100.3,.256,.380,.559,.524,12.9,22.7,.197,.521,12.9,77.4,.198,,355461,17673
