Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Boston Celtics,45,240.6,38.6,86.6,0.445,11.6,33.5,0.348,26.9,53.1,0.507,16.8,22.8,0.7390000000000001,10.2,34.1,44.3,23.2,6.7,5.5,15.6,20.4,105.6
2.0,Toronto Raptors,46,242.2,38.0,88.9,0.428,13.0,38.3,0.33799999999999997,25.0,50.5,0.496,17.1,22.5,0.7609999999999999,11.3,35.5,46.8,25.3,6.9,5.6,16.9,20.0,106.0
3.0,Denver Nuggets,46,242.2,39.1,86.1,0.45399999999999996,11.1,33.0,0.336,28.0,53.1,0.528,16.7,22.1,0.7559999999999999,10.3,33.3,43.6,24.4,7.0,4.8,14.6,20.4,106.0
4.0,Utah Jazz,46,240.5,39.7,89.3,0.445,10.6,31.0,0.342,29.1,58.3,0.499,16.2,21.3,0.76,9.7,33.3,43.0,20.7,7.7,4.9,12.6,20.9,106.2
5.0,Los Angeles Lakers,46,240.5,38.7,87.6,0.442,11.2,32.9,0.341,27.5,54.7,0.503,17.6,22.5,0.784,10.0,32.4,42.4,22.9,8.1,3.9,15.8,21.1,106.3
6.0,Milwaukee Bucks,46,240.5,38.3,93.6,0.409,14.0,39.0,0.36,24.2,54.6,0.444,16.1,20.7,0.779,9.7,36.2,45.9,23.7,7.2,4.5,14.5,21.6,106.7
7.0,Philadelphia 76ers,47,241.1,38.7,85.2,0.45399999999999996,9.9,28.0,0.35200000000000004,28.8,57.2,0.504,17.6,24.1,0.7290000000000001,8.5,33.0,41.5,21.9,7.3,3.9,14.5,20.4,104.8
8.0,Miami Heat,46,244.3,39.0,87.9,0.44299999999999995,12.3,37.4,0.32799999999999996,26.7,50.5,0.529,18.1,23.3,0.774,9.4,32.4,41.9,24.7,7.9,4.2,13.4,21.5,108.3
9.0,Orlando Magic,48,240.0,39.2,86.0,0.456,11.9,33.0,0.36,27.3,53.1,0.515,14.5,18.9,0.7659999999999999,9.3,36.8,46.1,23.6,6.8,4.7,15.0,19.2,104.7
10.0,Indiana Pacers,47,241.6,39.4,88.0,0.44799999999999995,11.2,32.4,0.34600000000000003,28.2,55.6,0.507,17.1,21.7,0.7859999999999999,10.1,34.6,44.7,23.2,6.4,4.6,14.4,18.6,107.1
11.0,Dallas Mavericks,46,241.6,40.8,90.8,0.449,11.5,33.6,0.341,29.3,57.2,0.512,16.5,21.5,0.769,11.1,34.4,45.5,23.2,6.9,3.8,12.3,21.2,109.5
12.0,Brooklyn Nets,45,243.3,41.3,93.7,0.441,12.2,34.5,0.355,29.1,59.2,0.491,17.1,22.4,0.763,11.0,36.0,47.1,21.8,8.0,5.6,13.3,21.0,111.9
13.0,Sacramento Kings,46,243.3,39.8,85.1,0.46799999999999997,11.9,34.2,0.349,27.9,50.9,0.5479999999999999,18.7,23.4,0.797,9.1,34.5,43.6,24.2,8.0,4.3,15.3,18.8,110.2
14.0,Charlotte Hornets,46,242.2,42.1,87.8,0.48,12.4,34.5,0.359,29.7,53.2,0.5579999999999999,13.9,18.3,0.759,10.8,35.4,46.1,27.0,8.2,5.0,14.8,21.0,110.6
15.0,Los Angeles Clippers,47,240.5,39.2,90.1,0.435,11.9,35.0,0.33899999999999997,27.3,55.0,0.496,19.1,25.0,0.7609999999999999,11.1,34.5,45.6,23.3,8.1,4.9,14.7,23.6,109.3
16.0,Oklahoma City Thunder,48,242.1,41.1,90.4,0.455,11.3,32.7,0.345,29.9,57.6,0.518,14.5,18.3,0.7929999999999999,10.3,34.2,44.5,22.8,6.9,4.3,13.9,22.8,108.1
17.0,Phoenix Suns,46,241.6,41.4,87.5,0.473,11.6,31.5,0.37,29.8,56.0,0.531,19.3,25.1,0.77,8.9,35.4,44.3,23.8,8.0,5.8,16.0,23.2,113.7
18.0,New York Knicks,47,240.5,39.8,85.8,0.46399999999999997,13.6,35.0,0.387,26.2,50.7,0.517,18.6,25.4,0.735,10.0,36.0,46.0,24.2,7.0,5.1,14.0,19.5,111.8
19.0,San Antonio Spurs,46,243.3,42.2,91.3,0.462,12.8,35.2,0.363,29.4,56.1,0.524,17.1,22.0,0.7759999999999999,9.7,36.0,45.7,25.6,7.1,4.4,12.6,20.0,114.3
