Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Milwaukee Bucks,46,240.5,43.8,90.8,0.48200000000000004,13.8,38.5,0.359,30.0,52.3,0.573,17.9,24.7,0.727,9.5,42.2,51.7,26.0,7.7,6.4,14.6,19.1,119.3
2.0,Houston Rockets,46,241.1,41.3,90.8,0.455,15.0,43.2,0.34600000000000003,26.3,47.6,0.5529999999999999,21.1,27.1,0.779,11.1,35.8,46.9,21.5,7.9,5.0,15.1,21.7,118.7
3.0,Los Angeles Clippers,47,240.5,41.5,89.8,0.462,11.7,32.6,0.359,29.8,57.3,0.521,20.9,26.6,0.784,11.4,36.8,48.2,23.5,7.4,5.0,15.3,22.2,115.6
4.0,New Orleans Pelicans,47,242.7,41.8,91.9,0.455,14.3,38.3,0.373,27.6,53.7,0.513,16.6,22.7,0.732,11.0,34.9,45.9,25.6,7.3,5.1,15.7,21.5,114.5
5.0,Dallas Mavericks,46,241.6,41.6,90.2,0.462,15.1,41.4,0.366,26.5,48.8,0.5429999999999999,18.0,23.6,0.764,11.3,36.3,47.6,24.1,6.2,4.7,12.6,19.5,116.4
6.0,Portland Trail Blazers,47,241.1,41.3,91.2,0.45299999999999996,12.4,33.9,0.366,28.9,57.2,0.505,17.8,21.9,0.812,10.2,35.7,46.0,19.9,5.7,6.4,13.0,21.8,112.8
7.0,Oklahoma City Thunder,48,242.1,40.1,85.1,0.47100000000000003,10.5,29.8,0.353,29.5,55.3,0.534,19.7,24.5,0.8009999999999999,8.1,35.3,43.4,21.9,7.3,5.0,13.8,18.6,110.3
8.0,Minnesota Timberwolves,47,244.3,39.9,91.7,0.435,13.0,39.5,0.32799999999999996,26.9,52.2,0.516,18.8,25.0,0.7509999999999999,11.1,35.0,46.0,23.4,8.4,6.0,15.4,21.4,111.6
9.0,Detroit Pistons,48,241.6,40.0,85.9,0.466,11.8,31.9,0.371,28.2,54.0,0.522,17.3,23.4,0.741,9.6,32.7,42.3,24.1,7.7,4.8,15.5,19.6,109.2
10.0,Los Angeles Lakers,46,240.5,42.7,88.2,0.484,11.0,30.6,0.359,31.7,57.6,0.55,17.2,23.3,0.738,10.5,35.0,45.5,25.8,8.6,7.1,14.9,20.4,113.5
11.0,Memphis Grizzlies,46,240.5,42.9,90.9,0.47200000000000003,11.6,32.3,0.36,31.3,58.6,0.534,16.0,20.3,0.7879999999999999,9.8,35.8,45.6,27.8,7.9,5.5,15.6,21.5,113.5
12.0,San Antonio Spurs,46,243.3,42.2,89.9,0.47,10.4,28.2,0.37,31.8,61.7,0.516,18.4,23.0,0.8,9.5,36.5,46.1,24.6,6.7,5.7,13.0,19.1,113.3
13.0,Washington Wizards,45,241.1,42.5,91.8,0.46299999999999997,11.9,32.6,0.364,30.6,59.2,0.518,18.3,23.5,0.7809999999999999,10.3,31.9,42.2,25.5,7.6,4.3,14.1,22.4,115.3
14.0,Phoenix Suns,46,241.6,40.9,88.8,0.46,11.1,32.3,0.344,29.8,56.5,0.527,19.8,24.4,0.81,9.7,34.1,43.8,27.1,7.8,3.9,14.7,22.5,112.7
15.0,Chicago Bulls,49,241.0,38.7,88.4,0.43799999999999994,12.2,35.2,0.34600000000000003,26.5,53.2,0.499,16.1,21.0,0.768,10.1,32.6,42.7,22.9,10.0,4.2,15.1,21.5,105.7
16.0,Indiana Pacers,47,241.6,42.3,88.9,0.47600000000000003,10.3,27.4,0.375,32.0,61.5,0.521,15.1,19.0,0.7959999999999999,9.0,33.7,42.7,26.2,7.1,5.1,12.7,19.8,110.0
17.0,Miami Heat,46,244.3,39.8,84.1,0.473,12.8,33.8,0.379,27.0,50.3,0.536,19.8,25.4,0.779,8.6,36.7,45.3,25.3,7.1,4.2,15.5,20.3,112.2
18.0,Toronto Raptors,46,242.2,40.2,88.8,0.45299999999999996,13.7,36.5,0.375,26.6,52.3,0.508,17.8,22.4,0.7959999999999999,10.0,35.7,45.8,25.7,8.7,5.0,14.5,21.2,112.0
19.0,Utah Jazz,46,240.5,40.3,85.0,0.475,12.9,33.5,0.385,27.5,51.5,0.5329999999999999,17.7,22.9,0.77,8.8,37.0,45.8,22.3,6.0,4.1,15.0,20.5,111.2
20.0,Atlanta Hawks,47,241.6,40.0,90.0,0.444,11.5,35.4,0.325,28.5,54.6,0.521,17.3,22.5,0.769,9.7,33.2,42.9,23.1,8.1,5.3,16.7,23.4,108.7
21.0,Philadelphia 76ers,47,241.1,40.8,87.4,0.467,10.9,30.8,0.354,29.9,56.6,0.529,15.9,21.4,0.742,10.2,35.7,45.9,26.2,8.4,5.7,14.8,21.2,108.4
22.0,Boston Celtics,45,240.6,41.3,89.6,0.461,12.1,34.0,0.35600000000000004,29.2,55.6,0.525,17.7,22.0,0.802,10.5,34.9,45.4,23.5,8.3,5.8,13.7,21.2,112.3
23.0,Denver Nuggets,46,242.2,41.4,89.8,0.461,10.4,30.0,0.34600000000000003,31.0,59.8,0.518,16.3,21.1,0.775,11.3,33.5,44.8,26.2,8.2,4.5,13.4,20.0,109.5
24.0,Golden State Warriors,47,242.7,38.3,89.3,0.429,10.1,30.0,0.33799999999999997,28.1,59.3,0.475,19.0,23.3,0.812,10.6,33.4,43.9,24.7,8.3,4.5,14.7,19.7,105.7
25.0,Orlando Magic,48,240.0,38.1,88.5,0.431,10.4,31.1,0.33399999999999996,27.7,57.4,0.483,16.8,22.1,0.7609999999999999,10.6,34.4,45.0,22.6,8.5,5.8,12.6,17.9,103.5
26.0,Cleveland Cavaliers,47,241.1,39.6,87.6,0.452,10.9,31.5,0.345,28.8,56.1,0.513,15.0,19.7,0.762,10.6,33.6,44.1,21.7,6.8,3.3,16.3,18.2,105.2
27.0,Sacramento Kings,46,243.3,40.0,87.9,0.455,12.1,34.2,0.355,27.9,53.8,0.518,15.1,19.5,0.7709999999999999,9.9,32.7,42.6,22.9,7.5,4.3,15.1,21.9,107.1
28.0,Brooklyn Nets,45,243.3,39.7,90.2,0.44,12.6,37.4,0.336,27.1,52.8,0.513,17.5,23.7,0.736,10.6,37.6,48.2,23.6,6.8,4.6,15.9,20.7,109.4
29.0,New York Knicks,47,240.5,39.1,89.5,0.43700000000000006,10.1,29.9,0.33799999999999997,29.0,59.5,0.486,16.0,23.1,0.6920000000000001,12.0,34.2,46.2,21.2,7.6,4.6,14.1,22.4,104.3
30.0,Charlotte Hornets,46,242.2,37.3,85.9,0.434,12.3,34.7,0.354,25.0,51.2,0.489,16.4,22.0,0.748,10.8,31.7,42.5,23.9,6.6,4.3,15.0,19.6,103.3
,League Average,47,241.7,40.6,88.9,0.457,12.0,33.7,0.355,28.7,55.3,0.519,17.6,22.8,0.769,10.2,34.9,45.1,24.1,7.6,5.0,14.6,20.7,110.8
