Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Ben Simmons\simmobe01,23,28,28,34.7,5.8,10.3,.564,0.1,0.2,.400,5.8,10.1,.567,.567,2.6,4.4,.598,1.5,5.3,6.7,8.1,2.1,0.6,3.7,3.3,14.3
2,Tobias Harris\harrito02,27,30,30,34.3,7.6,15.8,.483,1.3,4.3,.308,6.3,11.5,.549,.525,2.7,3.4,.786,0.8,5.9,6.7,3.2,0.8,0.8,1.9,2.4,19.3
3,Joel Embiid\embiijo01,25,24,24,31.0,7.5,16.2,.461,1.2,3.7,.318,6.3,12.5,.503,.497,7.1,8.6,.821,2.6,10.2,12.8,3.3,0.9,1.3,3.1,3.4,23.2
4,Josh Richardson\richajo01,26,22,22,30.7,5.4,12.4,.432,1.8,5.0,.367,3.5,7.5,.476,.505,2.0,2.6,.776,0.9,2.7,3.5,3.2,1.1,0.6,2.1,2.8,14.6
5,Al Horford\horfoal01,33,26,26,30.5,5.5,11.6,.470,1.4,4.1,.340,4.1,7.5,.541,.530,1.0,1.4,.676,1.7,4.9,6.6,3.8,1.1,1.0,1.2,2.4,13.3
6,Furkan Korkmaz\korkmfu01,22,29,11,20.7,2.9,6.7,.430,1.5,4.1,.367,1.3,2.5,.534,.544,0.6,0.7,.810,0.1,2.0,2.2,0.9,0.3,0.2,0.7,1.5,7.8
7,Mike Scott\scottmi01,31,30,4,18.9,2.4,5.4,.441,1.3,3.6,.361,1.1,1.8,.604,.562,0.4,0.5,.800,0.7,2.7,3.4,0.7,0.4,0.1,0.4,1.3,6.4
8,Matisse Thybulle\thybuma01,22,29,3,17.7,1.6,3.7,.430,1.0,2.2,.460,0.6,1.5,.386,.565,0.5,0.8,.682,0.3,0.8,1.1,1.3,1.4,0.7,1.0,2.0,4.7
9,James Ennis\ennisja01,29,30,0,17.3,2.4,5.0,.480,0.9,2.4,.394,1.5,2.6,.557,.573,1.2,1.6,.755,1.0,2.2,3.3,0.9,0.5,0.3,0.7,2.0,7.0
10,Trey Burke\burketr01,27,11,0,15.5,2.7,6.2,.441,0.7,1.8,.400,2.0,4.4,.458,.500,0.7,1.0,.727,0.7,0.8,1.5,3.0,0.6,0.1,0.5,0.6,6.9
11,Norvel Pelle\pelleno01,26,5,0,12.2,1.2,1.8,.667,0.0,0.0,,1.2,1.8,.667,.667,0.8,1.2,.667,0.8,3.0,3.8,0.8,0.0,1.8,1.2,2.4,3.2
12,Raul Neto\netora01,27,27,2,12.0,1.6,3.3,.489,0.6,1.3,.457,1.0,2.0,.509,.578,0.2,0.3,.750,0.1,1.0,1.1,1.6,0.5,0.1,0.9,0.7,4.1
13,Kyle O'Quinn\oquinky01,29,18,0,9.4,1.3,2.7,.500,0.3,0.9,.375,1.0,1.8,.563,.563,0.2,0.4,.375,1.1,2.3,3.4,1.3,0.1,0.7,0.9,1.3,3.2
14,Shake Milton\miltosh01,23,9,0,9.1,1.3,3.9,.343,0.4,2.1,.211,0.9,1.8,.500,.400,0.8,1.0,.778,0.1,0.8,0.9,0.8,0.1,0.0,1.3,1.4,3.9
15,Jonah Bolden\boldejo01,24,2,0,2.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,1.0,.000,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0
