Rk,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Giannis Antetokounmpo\antetgi01,25,28,28,31.3,11.7,20.8,.565,1.8,5.2,.338,10.0,15.6,.640,.607,6.6,10.9,.601,2.7,10.1,12.8,5.4,1.3,1.2,3.7,3.2,31.8
2,Khris Middleton\middlkh01,28,22,19,27.7,6.7,13.6,.493,2.1,5.2,.404,4.6,8.5,.548,.570,2.5,2.8,.871,0.8,4.7,5.5,3.4,0.9,0.1,1.8,2.4,18.0
3,Eric Bledsoe\bledser01,30,26,26,26.7,5.7,11.8,.477,1.2,3.6,.344,4.4,8.3,.535,.529,2.5,3.1,.813,0.8,4.1,4.9,5.7,0.8,0.5,2.3,2.3,15.0
4,Brook Lopez\lopezbr01,31,27,27,26.2,3.2,8.4,.382,1.3,4.7,.283,1.9,3.7,.505,.461,1.9,2.0,.909,0.6,4.4,5.0,1.5,0.7,2.3,1.0,2.4,9.6
5,Wesley Matthews\matthwe02,33,29,29,24.0,2.7,6.2,.431,1.7,4.3,.384,1.0,1.9,.536,.564,0.9,1.1,.806,0.2,2.2,2.4,1.3,0.7,0.1,0.7,1.5,7.9
6,Donte DiVincenzo\divindo01,23,26,13,21.7,3.2,7.3,.429,1.2,3.5,.337,2.0,3.8,.515,.510,1.0,1.2,.781,0.8,3.6,4.4,2.2,1.5,0.2,1.2,1.8,8.5
7,George Hill\hillge01,33,27,0,21.7,3.5,6.5,.537,1.6,3.0,.512,1.9,3.4,.559,.657,1.5,1.8,.854,1.1,2.0,3.1,3.0,0.9,0.1,0.8,1.6,10.0
8,Sterling Brown\brownst02,24,21,0,17.0,2.0,5.0,.394,1.0,2.6,.389,1.0,2.4,.400,.495,0.6,0.9,.684,0.7,3.6,4.3,1.3,0.7,0.1,0.9,1.2,5.5
9,Pat Connaughton\connapa01,27,27,0,16.9,1.9,4.0,.486,0.7,2.1,.328,1.2,1.8,.673,.575,0.5,0.7,.684,0.5,3.2,3.7,1.8,0.3,0.5,0.6,1.0,5.0
10,Ersan İlyasova\ilyaser01,32,26,1,16.3,2.8,5.7,.503,0.8,2.5,.328,2.0,3.2,.639,.575,1.3,1.5,.825,1.3,3.5,4.8,0.8,0.5,0.3,0.4,1.7,7.8
11,Kyle Korver\korveky01,38,24,0,15.7,1.9,4.9,.393,1.6,4.1,.384,0.3,0.8,.444,.556,0.5,0.6,.857,0.3,1.3,1.6,0.8,0.5,0.2,0.8,1.2,5.9
12,Robin Lopez\lopezro01,31,29,2,13.8,2.0,4.2,.484,0.5,1.7,.292,1.6,2.6,.608,.541,0.5,0.8,.636,1.0,1.8,2.8,0.6,0.2,0.7,1.1,1.6,5.0
13,D.J. Wilson\wilsodj01,23,14,0,11.8,2.0,4.0,.500,0.8,2.5,.314,1.2,1.5,.810,.598,0.1,0.1,1.000,0.4,1.9,2.2,0.8,0.0,0.1,0.5,1.0,4.9
14,Dragan Bender\bendedr01,22,3,0,9.7,2.0,2.7,.750,0.7,1.3,.500,1.3,1.3,1.000,.875,0.3,0.3,1.000,0.0,0.7,0.7,1.0,0.0,0.7,0.3,2.0,5.0
15,Thanasis Antetokounmpo\antetth01,27,5,0,5.0,1.2,2.0,.600,0.0,0.0,,1.2,2.0,.600,.600,0.4,0.8,.500,0.6,0.0,0.6,0.8,0.0,0.0,0.4,0.6,2.8
16,Frank Mason\masonfr01,25,3,0,4.3,0.3,1.3,.250,0.3,0.7,.500,0.0,0.7,.000,.375,0.3,0.7,.500,0.0,0.3,0.3,1.3,0.3,0.0,0.3,0.7,1.3
