Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Zach LaVine\lavinza01,24,30,30,33.1,7.9,18.3,.432,3.0,7.6,.395,4.9,10.7,.458,.514,4.4,5.3,.831,0.8,3.7,4.4,3.9,1.3,0.4,3.3,2.4,23.2
2,Lauri Markkanen\markkla01,22,30,30,30.5,4.9,11.9,.408,2.0,6.1,.333,2.8,5.8,.486,.493,3.0,3.7,.820,1.1,5.8,6.9,1.7,0.9,0.6,1.9,2.1,14.8
3,Wendell Carter\cartewe01,20,30,30,30.2,4.6,8.3,.556,0.1,0.6,.118,4.5,7.7,.589,.560,2.6,3.7,.712,3.4,6.3,9.7,1.1,0.8,1.0,1.5,4.0,11.9
4,Tomáš Satoranský\satorto01,28,30,30,27.6,3.4,7.8,.442,1.1,2.9,.375,2.3,4.8,.483,.513,1.5,1.8,.868,0.9,2.6,3.5,5.3,1.5,0.2,2.1,1.9,9.5
5,Otto Porter\porteot01,26,9,9,25.1,3.9,9.3,.417,1.8,4.4,.400,2.1,4.9,.432,.512,1.7,2.2,.750,0.9,2.6,3.4,1.6,1.0,0.3,0.8,2.2,11.2
6,Coby White\whiteco01,19,30,0,24.3,3.9,11.3,.349,1.8,5.5,.321,2.2,5.8,.376,.428,1.3,1.6,.792,0.3,3.2,3.5,2.4,0.8,0.1,1.4,1.3,10.9
7,Kris Dunn\dunnkr01,25,30,11,22.8,2.9,6.9,.427,0.5,2.1,.219,2.5,4.7,.521,.461,0.6,0.9,.704,0.6,2.9,3.4,3.1,1.9,0.4,1.1,3.6,7.0
8,Thaddeus Young\youngth01,31,29,0,21.7,3.6,8.9,.402,1.0,3.2,.319,2.6,5.7,.448,.459,0.6,1.1,.563,1.5,2.9,4.4,1.8,1.1,0.3,1.6,1.8,8.8
9,Chandler Hutchison\hutchch01,23,9,6,17.1,2.2,4.9,.455,0.6,1.3,.417,1.7,3.6,.469,.511,2.1,3.2,.655,0.1,3.6,3.7,0.9,0.6,0.2,1.3,1.3,7.1
10,Ryan Arcidiacono\arcidry01,25,30,0,15.6,1.4,3.6,.389,0.9,2.2,.400,0.5,1.4,.372,.509,0.6,0.7,.773,0.5,1.2,1.6,1.6,0.5,0.1,0.6,1.8,4.2
11,Denzel Valentine\valende01,26,16,0,13.1,2.8,6.3,.440,1.6,3.9,.419,1.1,2.4,.474,.570,0.3,0.3,1.000,0.2,2.1,2.3,1.2,0.8,0.3,0.6,1.6,7.4
12,Daniel Gafford\gaffoda01,21,20,0,10.6,1.9,2.5,.740,0.0,0.0,,1.9,2.5,.740,.740,0.5,1.1,.476,0.7,0.9,1.6,0.3,0.1,1.1,0.2,1.7,4.2
13,Luke Kornet\kornelu01,24,14,0,10.1,1.1,3.4,.313,0.4,1.9,.185,0.7,1.5,.476,.365,0.4,0.4,1.000,0.4,1.1,1.6,0.4,0.1,0.7,0.2,0.9,2.9
14,Shaquille Harrison\harrish01,26,18,4,8.2,1.1,2.7,.408,0.2,0.6,.300,0.9,2.2,.436,.439,0.6,1.0,.611,0.3,1.3,1.7,1.2,0.4,0.2,0.3,0.9,3.0
15,Max Strus\strusma01,23,2,0,3.0,1.0,1.5,.667,0.0,0.5,.000,1.0,1.0,1.000,.667,0.5,0.5,1.000,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2.5
