Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Tristan Thompson\thomptr01,28,28,28,31.2,5.8,11.1,.518,0.1,0.3,.429,5.6,10.9,.520,.523,1.6,2.9,.549,4.1,5.9,10.0,2.4,0.8,1.0,1.8,2.4,13.2
2,Collin Sexton\sextoco01,21,29,29,30.3,6.8,15.1,.446,0.9,3.1,.286,5.9,12.0,.489,.476,3.1,3.8,.827,1.0,2.0,3.0,2.4,1.0,0.1,2.0,2.1,17.6
3,Kevin Love\loveke01,31,25,25,30.2,5.2,11.7,.442,2.2,5.9,.378,2.9,5.8,.507,.538,3.5,4.2,.846,1.0,9.9,10.8,2.8,0.6,0.4,2.7,1.3,16.1
4,Cedi Osman\osmande01,24,29,29,28.6,3.6,8.4,.429,1.7,4.4,.372,2.0,4.0,.491,.527,0.8,1.3,.605,0.4,2.8,3.2,2.1,1.0,0.3,1.3,2.0,9.7
5,Darius Garland\garlada01,20,29,29,28.2,4.1,10.8,.382,1.8,4.8,.364,2.4,6.0,.397,.463,1.0,1.1,.879,0.4,1.6,2.0,3.1,0.6,0.0,2.5,1.3,11.0
6,Larry Nance\nancela02,27,27,4,24.7,3.3,6.7,.494,1.0,3.0,.341,2.3,3.6,.622,.572,1.0,1.4,.703,1.7,5.5,7.2,1.6,0.8,0.5,1.0,1.6,8.6
7,Jordan Clarkson\clarkjo01,27,29,0,23.0,5.0,11.2,.442,2.0,5.5,.371,2.9,5.8,.509,.532,2.6,3.0,.884,0.7,1.7,2.4,2.4,0.6,0.3,1.3,1.1,14.6
8,Kevin Porter\porteke02,19,28,1,21.1,3.0,6.9,.430,0.9,2.7,.320,2.1,4.2,.500,.492,1.1,1.4,.750,0.4,2.6,3.0,1.9,0.9,0.2,1.5,2.5,7.9
9,Matthew Dellavedova\dellama01,29,27,0,13.0,0.8,2.9,.286,0.2,1.6,.114,0.6,1.2,.515,.318,0.6,0.7,.944,0.3,1.0,1.3,2.5,0.4,0.0,0.8,1.6,2.4
10,John Henson\hensojo01,29,11,0,13.0,1.8,3.5,.526,0.2,1.0,.182,1.6,2.5,.667,.553,0.4,1.2,.308,1.0,2.2,3.2,1.5,0.7,1.4,0.7,1.9,4.2
11,Brandon Knight\knighbr03,28,9,0,11.3,1.7,4.8,.349,1.2,3.7,.333,0.4,1.1,.400,.477,0.3,0.9,.375,0.1,0.8,0.9,1.8,0.4,0.0,0.8,1.0,4.9
12,Alfonzo McKinnie\mckinal01,27,18,0,10.1,0.9,2.9,.327,0.4,1.4,.320,0.5,1.5,.333,.404,0.4,0.6,.636,0.6,1.4,2.1,0.2,0.3,0.2,0.4,1.2,2.7
13,Ante Žižić\zizican01,23,9,0,10.1,1.8,3.2,.552,0.0,0.0,,1.8,3.2,.552,.552,0.6,0.7,.833,0.8,1.8,2.6,0.0,0.2,0.2,0.1,1.1,4.1
14,Dean Wade\wadede01,23,3,0,6.0,0.3,0.7,.500,0.3,0.3,1.000,0.0,0.3,.000,.750,0.0,0.0,,0.0,0.7,0.7,0.0,0.3,0.0,0.0,1.0,1.0
15,Tyler Cook\cookty01,22,6,0,2.8,0.8,1.0,.833,0.0,0.0,,0.8,1.0,.833,.833,0.3,0.3,1.000,0.5,0.3,0.8,0.0,0.2,0.0,0.2,0.2,2.0
