Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Jayson Tatum\tatumja01,21,26,26,34.0,7.6,18.3,.414,2.5,7.0,.352,5.1,11.3,.452,.481,3.3,4.0,.837,1.2,5.8,6.9,2.8,1.4,0.7,2.2,2.3,21.0
2,Jaylen Brown\brownja02,23,23,23,33.6,7.4,14.7,.504,2.0,5.3,.377,5.4,9.4,.576,.572,3.0,4.0,.761,1.0,5.9,6.9,2.3,1.2,0.4,1.9,3.3,19.9
3,Kemba Walker\walkeke02,29,25,25,32.3,7.3,17.2,.426,3.7,9.1,.405,3.6,8.1,.448,.533,4.3,4.9,.877,0.8,3.4,4.2,5.4,0.9,0.6,2.4,1.6,22.6
4,Marcus Smart\smartma01,25,20,15,31.8,4.1,10.6,.387,2.1,6.3,.333,2.0,4.3,.465,.486,1.5,1.7,.879,1.0,2.4,3.4,4.6,1.3,0.5,1.3,2.3,11.8
5,Gordon Hayward\haywago01,29,11,11,30.6,7.3,13.1,.556,1.4,3.5,.395,5.9,9.6,.613,.608,1.6,2.1,.783,0.7,5.4,6.1,4.1,0.7,0.3,1.8,1.8,17.5
6,Daniel Theis\theisda01,27,23,22,21.9,2.9,5.6,.523,0.3,1.0,.292,2.6,4.5,.577,.551,1.0,1.5,.686,1.7,4.7,6.3,1.3,0.5,1.6,0.8,3.2,7.2
7,Tremont Waters\watertr01,22,1,0,20.0,2.0,7.0,.286,1.0,5.0,.200,1.0,2.0,.500,.357,2.0,2.0,1.000,0.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,7.0
8,Brad Wanamaker\wanambr01,30,26,0,18.4,2.3,5.0,.458,0.5,1.3,.394,1.8,3.8,.480,.508,2.1,2.3,.885,0.4,1.7,2.1,2.8,0.7,0.2,1.2,1.8,7.2
9,Enes Kanter\kanteen01,27,19,3,16.8,3.2,5.8,.555,0.0,0.1,.000,3.2,5.7,.565,.555,1.4,2.2,.634,2.9,4.1,7.0,1.1,0.6,0.6,0.8,1.6,7.8
10,Semi Ojeleye\ojelese01,25,26,3,15.8,0.9,2.3,.393,0.5,1.5,.350,0.4,0.8,.476,.508,0.3,0.4,.700,0.4,1.7,2.1,0.5,0.4,0.1,0.2,1.2,2.7
11,Grant Williams\willigr01,21,24,1,15.1,1.0,3.1,.333,0.2,1.3,.125,0.9,1.8,.488,.360,0.7,0.8,.842,0.8,1.5,2.3,0.8,0.4,0.5,0.8,2.0,2.9
12,Robert Williams\williro04,22,19,1,14.2,1.7,2.6,.673,0.0,0.0,,1.7,2.6,.673,.673,0.4,0.7,.571,1.2,3.4,4.6,1.1,0.9,1.1,0.8,1.8,3.9
13,Carsen Edwards\edwarca01,21,21,0,11.2,1.3,4.0,.321,0.8,2.4,.333,0.5,1.6,.303,.423,0.5,0.6,.846,0.2,1.5,1.7,0.8,0.3,0.1,0.6,1.0,3.9
14,Romeo Langford\langfro01,20,3,0,7.7,1.0,1.7,.600,0.0,0.3,.000,1.0,1.3,.750,.600,0.0,0.0,,0.0,0.0,0.0,0.3,0.7,0.0,0.3,0.7,2.0
15,Javonte Green\greenja02,26,20,0,7.7,1.3,2.3,.556,0.2,0.6,.250,1.1,1.7,.667,.589,0.1,0.3,.400,0.2,1.0,1.2,0.3,0.2,0.2,0.3,0.8,2.8
16,Vincent Poirier\poirivi01,26,9,0,4.9,0.8,1.6,.500,0.0,0.0,,0.8,1.6,.500,.500,0.1,0.2,.500,0.9,0.8,1.7,0.3,0.2,0.2,0.3,1.1,1.7
17,Tacko Fall\fallta01,24,2,0,4.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.5,1.0,.500,0.0,2.5,2.5,0.0,0.0,0.5,1.5,1.5,4.5
