Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTSG
1,Kawhi Leonardleonaka01,28,22,22,31.5,8.9,19.6,.452,1.7,4.8,.358,7.1,14.8,.483,.497,6.0,7.0,.869,1.0,6.8,7.9,4.9,1.7,0.6,3.5,1.9,25.5
2,Paul Georgegeorgpa01,29,19,19,30.7,8.3,18.3,.452,4.1,9.9,.410,4.2,8.4,.503,.563,4.6,5.1,.917,0.4,5.6,6.1,3.7,1.6,0.5,3.6,2.6,25.2
3,Lou Williamswillilo02,33,28,3,30.3,6.4,15.4,.415,1.8,4.9,.365,4.6,10.5,.439,.473,4.9,5.8,.840,0.4,2.7,3.1,6.2,0.6,0.1,3.1,1.5,19.4
4,Montrezl Harrellharremo01,26,30,2,29.4,7.8,13.4,.580,0.0,0.4,.000,7.8,13.0,.596,.580,3.4,5.3,.652,2.9,4.6,7.5,2.0,0.8,1.2,1.9,2.4,19.0
5,Patrick Beverleybeverpa01,31,26,26,29.3,3.0,7.2,.410,1.4,4.3,.327,1.5,2.9,.533,.508,0.5,0.9,.609,1.3,4.7,6.0,3.3,1.5,0.6,1.3,3.6,7.9
6,Landry Shametshamela01,22,13,11,28.5,3.0,7.3,.411,2.2,5.6,.384,0.8,1.7,.500,.558,1.0,1.1,.929,0.1,1.7,1.8,1.8,0.3,0.2,1.1,3.1,9.2
7,Maurice Harklessharklma01,26,30,20,23.5,2.2,4.6,.474,0.5,1.6,.333,1.6,3.0,.551,.533,0.6,1.1,.563,1.0,2.7,3.7,1.1,1.2,0.7,1.0,2.8,5.5
8,JaMychal Greengreenja01,29,22,0,21.3,2.5,6.0,.414,1.5,4.1,.378,1.0,2.0,.488,.541,0.8,1.0,.857,1.3,5.3,6.6,0.5,0.6,0.3,0.9,2.5,7.4
9,Rodney McGrudermcgruro01,28,19,2,17.4,1.4,3.9,.365,0.6,2.2,.286,0.8,1.7,.469,.446,0.3,0.6,.500,0.7,2.4,3.1,0.7,0.5,0.2,0.4,1.8,3.8
10,Ivica Zubaczubaciv01,22,30,28,16.8,3.1,5.4,.574,0.0,0.1,.000,3.1,5.3,.581,.574,1.9,2.4,.767,2.2,4.1,6.4,0.8,0.2,1.0,0.9,2.3,8.1
11,Patrick Pattersonpattepa01,30,27,12,14.7,1.7,4.3,.400,1.4,3.3,.411,0.3,0.9,.360,.561,0.6,0.9,.708,0.7,2.4,3.1,0.8,0.1,0.1,0.4,0.8,5.4
12,Jerome Robinsonrobinje01,22,24,0,12.4,1.4,4.0,.340,0.5,1.9,.283,0.8,2.1,.392,.407,0.3,0.5,.545,0.1,1.5,1.6,1.0,0.3,0.3,0.7,1.4,3.5
13,Derrick Waltonwaltode01,24,13,0,10.1,0.7,1.4,.500,0.4,0.9,.417,0.3,0.5,.667,.639,0.5,0.5,.857,0.2,0.5,0.6,1.0,0.3,0.0,0.2,0.8,2.2
14,Terance Mannmannte01,23,22,5,9.2,1.0,1.9,.500,0.1,0.4,.222,0.9,1.5,.576,.524,0.4,0.5,.800,0.1,1.0,1.1,1.3,0.3,0.1,0.5,1.2,2.4
15,Mfiondu Kabengelekabenmf01,22,9,0,4.2,0.9,2.1,.421,0.6,1.2,.455,0.3,0.9,.375,.553,0.3,0.3,1.000,0.1,0.7,0.8,0.1,0.1,0.1,0.1,0.4,2.7
16,Johnathan Motleymotlejo01,24,4,0,2.8,0.3,0.8,.333,0.3,0.3,1.000,0.0,0.5,.000,.500,0.0,0.0,,0.3,0.3,0.5,0.8,0.8,0.0,0.8,0.8,0.8
