Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Jae Crowder\crowdja01,29,28,28,31.2,3.5,9.4,.369,2.0,6.5,.302,1.5,2.9,.519,.473,1.6,2.1,.746,0.8,5.2,6.0,2.8,1.0,0.4,1.4,2.1,10.5
2,Ja Morant\moranja01,20,23,23,29.3,6.8,14.5,.471,1.0,2.3,.426,5.8,12.1,.480,.506,3.8,4.8,.791,0.7,2.5,3.3,6.7,1.2,0.3,3.2,1.7,18.4
3,Dillon Brooks\brookdi01,24,29,29,27.9,5.2,12.8,.405,1.8,4.9,.371,3.3,7.8,.427,.477,2.2,2.7,.823,1.0,2.6,3.5,2.1,1.1,0.4,1.4,3.8,14.4
4,Jaren Jackson\jacksja02,20,28,28,27.4,6.3,13.5,.469,2.5,6.3,.398,3.8,7.2,.532,.562,2.3,2.9,.778,1.0,3.6,4.6,1.5,0.6,1.2,1.9,4.2,17.4
5,Jonas Valančiūnas\valanjo01,27,27,27,25.0,5.9,10.3,.576,0.6,1.4,.421,5.3,8.9,.600,.604,1.6,2.1,.724,2.7,7.1,9.9,1.9,0.3,1.0,2.1,2.7,14.0
6,Brandon Clarke\clarkbr01,23,23,2,21.5,5.6,8.7,.645,0.6,1.3,.448,5.0,7.4,.678,.678,1.3,1.6,.806,1.5,4.4,5.9,1.1,0.4,0.9,1.0,1.8,13.0
7,Tyus Jones\jonesty01,23,29,6,20.0,2.3,6.0,.393,0.3,1.4,.244,2.0,4.6,.439,.422,0.7,0.9,.731,0.1,1.5,1.6,4.9,0.9,0.1,1.1,0.9,5.7
8,Solomon Hill\hillso01,28,27,1,19.9,2.3,5.6,.417,1.3,3.3,.393,1.0,2.3,.452,.533,0.5,0.7,.650,0.6,2.6,3.1,1.9,1.0,0.1,0.9,1.6,6.4
9,Kyle Anderson\anderky01,26,23,1,19.2,2.4,5.0,.487,0.2,0.9,.250,2.2,4.1,.537,.509,1.0,1.5,.629,1.0,3.3,4.4,2.3,0.7,0.6,1.0,1.6,6.0
10,Grayson Allen\allengr01,24,14,0,18.4,2.9,6.9,.423,1.2,3.3,.370,1.7,3.6,.471,.510,1.1,1.4,.842,0.1,2.6,2.8,1.4,0.4,0.1,1.1,1.6,8.2
11,De'Anthony Melton\meltode01,21,18,0,16.3,2.2,5.3,.411,0.6,1.6,.357,1.6,3.7,.433,.463,1.6,1.9,.824,0.9,2.7,3.7,3.1,1.2,0.2,1.5,2.0,6.4
12,Marko Guduric\gudurma01,24,26,0,14.7,1.8,4.8,.373,0.7,2.5,.281,1.1,2.4,.468,.444,0.6,0.7,.882,0.5,1.6,2.0,1.4,0.3,0.2,1.1,1.0,4.9
13,Bruno Caboclo\cabocbr01,24,17,0,10.5,1.6,3.8,.431,0.2,1.4,.174,1.4,2.5,.571,.462,0.1,0.2,.667,0.9,1.4,2.4,0.5,0.5,0.7,0.4,1.2,3.6
14,John Konchar\konchjo01,23,1,0,7.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Yuta Watanabe\watanyu01,25,4,0,4.5,0.8,1.5,.500,0.3,0.5,.500,0.5,1.0,.500,.583,0.0,0.0,,0.3,1.0,1.3,0.0,0.0,0.3,0.3,0.3,1.8
