Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Trae Young\youngtr01,21,28,28,35.4,9.4,21.1,.443,3.4,9.2,.372,5.9,11.9,.497,.524,6.2,7.3,.853,0.5,3.7,4.3,8.5,1.2,0.1,4.7,1.5,28.4
2,John Collins\collijo01,22,5,5,32.2,6.4,12.2,.525,1.8,3.8,.474,4.6,8.4,.548,.598,2.4,3.4,.706,2.0,6.8,8.8,1.6,1.0,2.0,1.4,3.4,17.0
3,De'Andre Hunter\huntede01,22,28,27,31.6,4.5,11.3,.399,1.7,4.9,.346,2.8,6.4,.439,.473,1.9,2.5,.771,0.5,3.5,4.0,1.9,0.6,0.3,1.6,2.8,12.6
4,Jabari Parker\parkeja01,24,29,23,27.3,6.6,12.9,.509,1.0,3.7,.280,5.6,9.2,.601,.549,1.8,2.4,.732,1.7,4.7,6.4,1.9,1.4,0.5,1.9,3.1,16.0
5,Cam Reddish\reddica01,20,26,18,25.8,3.0,9.0,.329,1.1,4.0,.276,1.8,5.0,.372,.391,1.7,2.2,.754,0.7,3.3,4.0,1.5,0.9,0.4,1.9,1.9,8.7
6,Kevin Huerter\huertke01,21,18,10,24.0,3.1,7.8,.397,1.7,4.7,.357,1.4,3.2,.456,.504,1.1,1.3,.792,0.5,2.8,3.3,3.3,0.9,0.4,1.6,2.1,8.9
7,DeAndre' Bembry\bembrde01,25,28,4,22.9,2.7,5.6,.481,0.3,1.4,.237,2.4,4.2,.559,.510,0.6,1.3,.486,1.0,3.1,4.0,2.4,1.3,0.5,1.4,2.0,6.3
8,Allen Crabbe\crabbal01,27,17,1,19.6,1.9,5.2,.371,1.0,3.4,.293,0.9,1.8,.516,.466,0.4,0.5,.778,0.5,1.9,2.4,0.9,0.5,0.2,0.4,1.1,5.3
9,Damian Jones\jonesda03,24,27,19,18.3,3.0,4.2,.711,0.1,0.2,.400,2.9,4.0,.725,.719,1.4,2.0,.698,1.6,2.4,3.9,0.7,0.4,0.9,0.6,3.4,7.4
10,Alex Len\lenal01,26,28,9,17.8,3.3,6.0,.545,0.3,1.3,.257,2.9,4.7,.621,.572,1.3,1.8,.686,1.5,3.5,5.0,1.1,0.5,0.7,1.0,2.2,8.1
11,Vince Carter\cartevi01,43,23,0,16.1,2.2,6.0,.370,1.2,4.0,.308,1.0,2.0,.489,.471,0.3,0.6,.615,0.2,1.7,1.8,1.0,0.3,0.3,0.6,1.7,6.0
12,Evan Turner\turneev01,31,16,0,13.5,1.5,3.8,.393,0.0,0.3,.000,1.5,3.5,.429,.393,0.8,0.9,.857,0.4,1.6,2.1,2.1,0.5,0.5,1.4,1.1,3.8
13,Bruno Fernando\fernabr01,21,28,1,11.6,1.5,2.9,.524,0.1,0.6,.235,1.4,2.3,.600,.549,0.6,1.0,.667,1.1,1.9,3.0,1.0,0.2,0.3,0.9,1.6,3.9
14,Tyrone Wallace\wallaty01,25,14,0,11.4,1.0,3.1,.318,0.1,1.1,.067,0.9,2.1,.448,.330,0.8,1.2,.647,0.2,1.4,1.6,0.9,0.5,0.1,0.7,1.4,2.9
15,Chandler Parsons\parsoch01,31,4,0,10.8,1.3,3.5,.357,1.0,3.0,.333,0.3,0.5,.500,.500,0.0,0.0,,0.3,1.3,1.5,0.5,1.0,0.0,0.5,0.8,3.5
16,Charlie Brown\brownch02,22,4,0,4.0,0.3,0.8,.333,0.3,0.3,1.000,0.0,0.5,.000,.500,1.0,1.0,1.000,0.5,0.3,0.8,0.0,0.0,0.3,0.0,0.0,1.8
17,Brandon Goodwin\goodwbr01,24,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0
