Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Jimmy Butler\butleji01,30,25,25,35.3,6.0,13.7,.434,1.0,3.4,.286,5.0,10.4,.483,.469,7.5,9.1,.825,1.8,4.6,6.4,6.8,2.1,0.6,2.6,1.3,20.4
2,Bam Adebayo\adebaba01,22,29,29,34.0,5.8,10.1,.575,0.0,0.3,.111,5.8,9.8,.590,.577,4.0,5.9,.678,2.4,8.1,10.6,4.6,1.4,1.2,3.0,2.7,15.6
3,Justise Winslow\winslju01,23,10,5,33.7,5.0,12.7,.394,0.6,2.6,.231,4.4,10.1,.436,.417,1.8,2.7,.667,1.6,5.5,7.1,4.3,0.6,0.4,2.3,3.6,12.4
4,Kendrick Nunn\nunnke01,24,29,29,31.0,6.5,14.4,.453,2.2,6.1,.358,4.3,8.3,.523,.529,1.2,1.6,.783,0.3,2.4,2.8,3.6,1.0,0.2,2.0,2.5,16.4
5,Tyler Herro\herroty01,20,28,3,28.9,5.0,11.9,.419,2.0,5.3,.378,3.0,6.6,.452,.503,1.9,2.2,.869,0.3,3.8,4.0,2.1,0.7,0.1,1.9,1.3,13.9
6,Goran Dragić\dragigo01,33,19,1,28.5,5.4,11.6,.468,2.3,5.5,.410,3.2,6.1,.522,.566,2.9,4.2,.709,0.3,2.8,3.1,5.2,0.6,0.3,2.6,1.7,16.1
7,Duncan Robinson\robindu01,25,29,24,27.5,4.1,8.5,.480,3.2,7.2,.450,0.8,1.3,.649,.671,0.6,0.6,.944,0.2,2.9,3.0,0.9,0.7,0.3,0.6,2.7,12.0
8,Kelly Olynyk\olynyke01,28,29,0,22.6,2.8,6.2,.453,1.5,3.7,.411,1.3,2.6,.514,.575,1.6,1.8,.882,0.9,4.2,5.1,1.4,0.8,0.3,1.3,2.8,8.7
9,Derrick Jones\jonesde02,22,15,0,20.8,2.9,5.3,.544,0.6,1.7,.346,2.3,3.5,.642,.601,1.5,2.1,.719,0.8,2.5,3.3,1.0,1.1,0.5,0.7,2.6,7.9
10,Meyers Leonard\leoname01,27,29,29,18.4,2.3,4.1,.563,0.9,2.0,.474,1.4,2.1,.645,.676,0.2,0.4,.545,0.4,4.0,4.4,1.1,0.2,0.4,0.7,2.1,5.8
11,James Johnson\johnsja01,32,6,0,11.3,1.3,3.0,.444,0.3,1.5,.222,1.0,1.5,.667,.500,0.3,0.7,.500,0.3,1.5,1.8,0.7,0.5,0.3,0.7,0.8,3.3
12,Chris Silva\silvach01,23,25,0,9.5,1.4,2.0,.667,0.0,0.1,.000,1.4,2.0,.694,.667,1.1,1.6,.700,1.8,1.8,3.6,0.6,0.2,0.6,1.1,2.5,3.8
13,Udonis Haslem\hasleud01,39,2,0,5.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,1.5,2.0,.750,0.0,1.5,1.5,0.0,0.0,0.0,0.0,1.5,2.5
14,Daryl Macon\maconda01,24,4,0,3.5,0.3,0.8,.333,0.3,0.5,.500,0.0,0.3,.000,.500,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.3,0.8
15,KZ Okpala\okpalkz01,20,3,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,0.0
