Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Devonte' Graham\grahade01,24,31,21,34.3,6.1,15.5,.390,3.7,9.1,.403,2.4,6.4,.372,.508,3.3,4.1,.797,1.0,2.7,3.7,7.5,0.9,0.3,3.0,1.8,19.1
2,Terry Rozier\roziete01,25,31,31,33.0,6.0,14.7,.410,2.6,6.6,.395,3.4,8.1,.422,.499,2.4,2.8,.849,0.9,3.8,4.6,4.3,1.3,0.2,2.7,2.2,17.0
3,Miles Bridges\bridgmi02,21,31,31,30.7,4.7,10.9,.436,1.6,4.4,.363,3.2,6.5,.485,.509,1.3,1.6,.765,1.2,3.9,5.1,1.7,0.5,0.8,1.6,2.2,12.3
4,PJ Washington\washipj01,21,28,28,29.4,4.5,9.4,.481,1.4,3.4,.406,3.1,6.0,.524,.555,1.8,2.5,.704,0.9,4.3,5.3,1.8,1.0,0.9,1.4,2.8,12.3
5,Cody Zeller\zelleco01,27,28,20,24.1,4.7,8.7,.539,0.5,1.8,.306,4.1,6.9,.598,.570,2.0,3.0,.679,3.0,5.0,8.0,1.3,0.6,0.5,1.5,2.5,11.9
6,Nicolas Batum\batumni01,31,14,0,21.9,1.1,3.3,.348,0.6,2.4,.273,0.5,0.9,.538,.446,0.4,0.4,1.000,1.1,3.1,4.2,3.1,0.8,0.5,1.4,1.9,3.3
7,Marvin Williams\willima02,33,26,0,20.8,2.8,5.6,.497,1.3,3.2,.417,1.4,2.3,.607,.617,1.2,1.3,.909,0.4,2.4,2.8,1.0,0.7,0.5,0.7,1.8,8.0
8,Malik Monk\monkma01,21,30,0,20.1,3.6,8.0,.450,1.0,3.7,.273,2.6,4.3,.600,.513,1.2,1.5,.841,0.3,2.5,2.8,2.2,0.4,0.2,1.4,1.5,9.4
9,Bismack Biyombo\biyombi01,27,29,14,18.1,3.0,5.3,.568,0.0,0.0,,3.0,5.3,.568,.568,1.8,3.0,.580,2.3,3.3,5.7,0.9,0.2,0.7,0.7,2.1,7.8
10,Dwayne Bacon\bacondw01,24,22,10,18.0,2.3,7.2,.314,0.5,2.0,.227,1.8,5.2,.348,.346,1.1,1.6,.686,0.5,2.0,2.5,1.2,0.7,0.1,0.9,1.5,6.1
11,Michael Kidd-Gilchrist\kiddgmi01,26,9,0,15.7,1.8,5.4,.327,0.6,1.9,.294,1.2,3.6,.344,.378,0.8,1.0,.778,0.9,2.6,3.4,0.9,0.0,0.3,0.7,1.8,4.9
12,Cody Martin\martico01,24,22,0,14.2,1.2,3.0,.394,0.2,1.2,.185,1.0,1.8,.538,.432,1.0,1.4,.677,0.5,2.0,2.5,1.4,0.8,0.1,0.6,1.3,3.5
13,Willy Hernangómez\hernawi01,25,9,0,7.1,1.1,2.7,.417,0.2,0.7,.333,0.9,2.0,.444,.458,0.4,0.9,.500,1.0,1.4,2.4,0.3,0.1,0.3,0.6,0.4,2.9
14,Caleb Martin\martica02,24,5,0,6.4,0.6,2.0,.300,0.0,0.6,.000,0.6,1.4,.429,.300,0.6,1.0,.600,0.2,0.8,1.0,0.6,0.2,0.4,0.6,0.6,1.8
15,Jalen McDaniels\mcdanja01,22,2,0,3.5,1.0,2.5,.400,0.0,0.5,.000,1.0,2.0,.500,.400,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0
