Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Donovan Mitchell\mitchdo01,23,28,28,34.8,9.5,20.7,.457,2.2,6.3,.352,7.3,14.4,.502,.510,4.2,5.0,.843,0.9,3.8,4.7,3.7,1.1,0.3,2.4,2.4,25.4
2,Rudy Gobert\goberru01,27,26,26,34.3,5.6,8.3,.673,0.0,0.0,,5.6,8.3,.673,.673,3.5,5.8,.605,3.5,10.3,13.9,1.6,0.7,1.8,2.2,3.0,14.8
3,Bojan Bogdanović\bogdabo02,30,27,27,33.6,7.0,15.6,.449,3.3,7.3,.452,3.7,8.3,.446,.555,3.7,4.3,.878,0.6,3.9,4.6,2.1,0.7,0.1,2.9,1.8,21.0
4,Mike Conley\conlemi01,32,22,22,29.4,4.5,12.3,.365,1.8,5.0,.360,2.7,7.3,.369,.439,2.8,3.5,.803,0.7,2.6,3.3,4.6,0.7,0.2,2.0,2.2,13.6
5,Joe Ingles\inglejo01,32,28,8,29.0,3.0,7.3,.410,1.6,4.5,.357,1.4,2.8,.494,.520,1.1,1.4,.800,0.5,4.0,4.5,4.2,1.0,0.1,1.9,2.4,8.8
6,Royce O'Neale\onealro01,26,28,25,28.9,2.3,4.8,.467,1.3,2.9,.444,1.0,1.9,.500,.600,0.5,0.6,.813,0.2,4.6,4.8,2.5,0.9,0.3,0.9,3.0,6.3
7,Jeff Green\greenje02,33,28,2,18.6,2.5,6.5,.383,1.2,3.6,.330,1.3,3.0,.446,.473,1.7,2.2,.774,0.5,2.3,2.8,0.6,0.4,0.4,1.0,1.6,7.9
8,Emmanuel Mudiay\mudiaem01,23,25,0,16.0,2.6,5.8,.452,0.5,1.5,.342,2.1,4.3,.491,.497,1.2,1.6,.756,0.3,2.3,2.6,2.3,0.2,0.3,1.6,1.6,7.0
9,Ed Davis\davised01,30,16,0,12.0,0.7,1.6,.423,0.0,0.0,,0.7,1.6,.423,.423,0.3,0.6,.444,1.1,3.4,4.4,0.5,0.4,0.5,0.7,2.3,1.6
10,Georges Niang\niangge01,26,22,0,11.9,1.6,3.4,.473,0.8,2.1,.391,0.8,1.3,.607,.595,0.3,0.5,.700,0.1,1.6,1.7,0.5,0.1,0.1,0.5,1.4,4.3
11,Tony Bradley\bradlto01,22,18,2,9.1,1.8,3.0,.611,0.0,0.0,,1.8,3.0,.611,.611,0.6,0.9,.688,1.4,2.1,3.5,0.3,0.1,0.4,0.4,1.6,4.3
12,Dante Exum\exumda01,24,11,0,7.5,0.9,2.1,.435,0.2,0.5,.333,0.7,1.5,.471,.478,0.2,0.2,1.000,0.3,0.8,1.1,0.6,0.1,0.2,0.9,0.7,2.2
13,Jarrell Brantley\brantja01,23,2,0,4.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.5,0.0,1.0,0.5,0.5,0.0
14,Stanton Kidd\kiddst01,27,4,0,3.8,0.0,0.8,.000,0.0,0.3,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.8,0.8,0.3,0.0,0.0,0.5,0.8,0.0
15,Nigel Williams-Goss\willini01,25,7,0,3.1,0.0,0.7,.000,0.0,0.1,.000,0.0,0.6,.000,.000,0.3,0.3,1.000,0.1,0.1,0.3,0.3,0.0,0.1,0.1,0.1,0.3
16,Juwan Morgan\morgaju01,22,3,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.3,0.0
17,Miye Oni\onimi01,22,3,0,2.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,0.0
