Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Harrison Barnes\barneha02,27,28,28,35.2,5.4,11.8,.456,1.3,3.8,.346,4.1,8.0,.509,.512,3.4,4.3,.800,1.0,4.1,5.1,2.3,0.8,0.2,1.5,1.2,15.5
2,Buddy Hield\hieldbu01,27,28,28,34.0,7.8,18.2,.428,3.8,10.3,.372,4.0,7.9,.502,.533,1.7,2.0,.855,1.0,4.1,5.1,3.0,0.9,0.3,2.5,2.6,21.1
3,De'Aaron Fox\foxde01,22,11,9,31.1,5.8,13.6,.427,1.1,3.5,.316,4.7,10.2,.464,.467,4.6,6.4,.729,0.8,3.1,3.9,7.0,1.1,0.5,3.8,3.0,17.4
4,Richaun Holmes\holmeri01,26,28,24,28.4,5.1,7.7,.667,0.0,0.0,,5.1,7.7,.667,.667,1.9,2.4,.806,2.8,5.4,8.2,0.9,1.1,1.4,1.1,4.0,12.2
5,Bogdan Bogdanović\bogdabo01,27,25,0,27.7,5.2,12.0,.432,2.7,6.7,.401,2.5,5.4,.470,.543,1.5,2.1,.698,0.3,2.4,2.7,3.9,1.2,0.1,2.0,2.0,14.6
6,Nemanja Bjelica\bjeline01,31,28,27,26.5,4.4,9.4,.464,1.8,4.5,.408,2.5,4.9,.514,.561,0.8,0.9,.920,1.7,4.6,6.3,2.8,1.0,0.5,1.6,2.9,11.4
7,Cory Joseph\josepco01,28,28,19,26.4,2.4,6.3,.375,0.6,2.0,.309,1.8,4.3,.405,.423,0.7,0.7,1.000,0.5,2.1,2.6,3.9,0.8,0.5,1.4,1.9,6.0
8,Marvin Bagley\baglema01,20,6,1,24.0,5.8,12.8,.455,0.5,1.3,.375,5.3,11.5,.464,.474,1.7,2.2,.769,2.2,4.7,6.8,0.7,0.2,1.2,1.2,2.7,13.8
9,Trevor Ariza\arizatr01,34,20,0,22.7,1.7,4.7,.366,1.2,3.5,.348,0.5,1.2,.417,.495,0.5,0.7,.769,0.5,3.4,3.9,1.2,1.0,0.3,0.9,1.7,5.1
10,Dewayne Dedmon\dedmode01,30,22,4,14.1,2.0,4.8,.419,0.5,2.2,.229,1.5,2.6,.579,.471,0.5,0.6,.846,1.2,2.8,4.0,0.4,0.4,0.5,1.4,2.5,5.0
11,Yogi Ferrell\ferreyo01,26,23,0,14.0,2.0,4.5,.442,0.4,1.6,.270,1.6,2.9,.537,.490,1.2,1.4,.875,0.2,1.3,1.4,1.7,0.4,0.1,0.7,0.7,5.7
12,Justin James\jamesju01,23,13,0,12.8,1.8,4.2,.418,0.5,1.5,.316,1.3,2.8,.472,.473,0.2,0.7,.222,0.2,1.5,1.8,0.8,0.3,0.5,0.5,0.9,4.2
13,Harry Giles\gilesha01,21,7,0,7.4,1.6,3.6,.440,0.0,0.0,,1.6,3.6,.440,.440,0.3,0.3,1.000,0.4,0.6,1.0,0.7,0.3,0.4,0.7,1.9,3.4
14,Wenyen Gabriel\gabriwe01,22,7,0,6.7,0.7,2.3,.313,0.1,1.1,.125,0.6,1.1,.500,.344,0.7,1.3,.556,0.6,0.6,1.1,0.4,0.3,0.3,0.4,0.9,2.3
15,DaQuan Jeffries\jeffrda01,22,2,0,5.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,1.0
16,Caleb Swanigan\swanica01,22,5,0,2.6,0.2,0.4,.500,0.0,0.0,,0.2,0.4,.500,.500,0.2,0.4,.500,0.2,0.8,1.0,0.0,0.2,0.4,0.8,0.6,0.6
