Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Marcus Morris\morrima03,30,27,27,31.9,6.1,14.1,.432,2.8,5.9,.472,3.3,8.2,.403,.530,3.8,4.4,.857,1.1,4.5,5.6,1.4,0.9,0.5,1.7,3.1,18.7
2,RJ Barrett\barrerj01,19,28,28,31.7,5.1,13.2,.389,1.0,3.4,.295,4.1,9.8,.422,.427,2.5,4.6,.543,1.0,4.2,5.2,2.8,1.1,0.4,2.1,2.2,13.8
3,Julius Randle\randlju01,25,29,29,31.6,6.2,14.1,.441,0.9,3.7,.252,5.3,10.4,.508,.474,3.8,5.7,.673,2.3,6.4,8.8,3.3,0.7,0.1,3.0,2.7,17.2
4,Frank Ntilikina\ntilila01,21,27,23,24.0,2.2,5.8,.382,0.9,2.4,.348,1.4,3.4,.407,.455,0.6,0.7,.800,0.4,1.7,2.0,3.0,1.3,0.4,1.2,2.6,5.9
5,Mitchell Robinson\robinmi01,21,25,6,22.7,4.2,6.1,.697,0.0,0.0,,4.2,6.1,.697,.697,1.9,3.0,.649,3.2,3.7,7.0,0.6,0.7,1.8,0.8,3.5,10.4
6,Elfrid Payton\paytoel01,25,12,3,21.9,3.3,8.1,.402,0.6,1.6,.368,2.7,6.5,.410,.438,0.9,1.3,.688,1.1,2.0,3.1,5.1,1.6,0.2,1.6,1.8,8.0
7,Bobby Portis\portibo01,24,29,2,21.5,3.9,8.8,.441,1.1,2.9,.376,2.8,5.8,.473,.504,1.0,1.3,.737,1.4,4.3,5.8,1.2,0.7,0.3,1.0,1.7,9.8
8,Kevin Knox\knoxke01,20,28,3,20.0,2.7,7.0,.381,1.3,3.8,.330,1.4,3.3,.440,.470,1.1,1.8,.640,0.4,2.4,2.9,1.3,0.5,0.4,0.7,1.6,7.8
9,Dennis Smith\smithde03,22,19,1,16.8,2.1,6.3,.336,0.6,2.0,.316,1.5,4.3,.346,.387,0.8,1.6,.500,0.6,1.4,2.0,2.9,0.5,0.3,1.5,2.2,5.6
10,Taj Gibson\gibsota01,34,27,21,16.5,2.1,4.3,.496,0.1,0.4,.200,2.0,3.9,.524,.504,0.3,0.6,.600,1.8,2.7,4.5,1.2,0.7,0.4,0.7,2.2,4.6
11,Damyean Dotson\dotsoda01,25,25,0,16.3,2.2,5.5,.406,1.0,3.4,.298,1.2,2.2,.574,.496,0.6,0.8,.762,0.2,1.4,1.6,1.2,0.4,0.2,0.5,0.8,6.1
12,Kadeem Allen\allenka01,27,1,0,16.0,3.0,6.0,.500,3.0,4.0,.750,0.0,2.0,.000,.750,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,9.0
13,Wayne Ellington\ellinwa01,32,18,1,14.3,1.4,4.5,.321,1.2,3.8,.304,0.3,0.7,.417,.451,0.2,0.3,.667,0.1,1.6,1.6,0.9,0.3,0.1,0.7,1.1,4.3
14,Allonzo Trier\trieral01,24,13,1,12.8,2.2,4.3,.500,1.1,2.5,.438,1.1,1.8,.583,.625,2.2,2.7,.800,0.1,1.4,1.5,1.4,0.2,0.3,1.4,1.7,7.5
15,Ignas Brazdeikis\brazdig01,21,7,0,6.7,0.7,2.9,.250,0.1,1.1,.125,0.6,1.7,.333,.275,0.4,0.6,.750,0.3,0.4,0.7,0.3,0.0,0.1,0.3,0.4,2.0
