Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Anthony Davis\davisan02,26,27,27,35.0,9.7,19.5,.496,1.1,3.7,.300,8.6,15.8,.542,.525,7.3,8.5,.856,2.4,6.9,9.4,3.3,1.4,2.6,2.3,2.5,27.7
2,LeBron James\jamesle01,35,29,29,34.8,10.0,20.1,.496,2.2,6.2,.356,7.8,13.9,.558,.551,3.6,5.3,.677,1.0,6.5,7.5,10.6,1.2,0.6,4.0,1.9,25.8
3,Danny Green\greenda02,32,29,29,25.8,3.0,7.1,.425,2.0,5.2,.384,1.0,1.9,.536,.565,0.6,0.7,.810,0.7,3.1,3.8,1.2,1.2,0.6,1.0,2.2,8.7
4,Kentavious Caldwell-Pope\caldwke01,26,29,19,25.1,3.4,7.3,.462,1.2,3.2,.380,2.2,4.1,.525,.545,1.0,1.3,.784,0.6,1.5,2.1,1.8,0.8,0.1,0.9,1.7,9.0
5,Avery Bradley\bradlav01,29,15,10,25.0,3.6,7.9,.454,0.6,2.6,.231,3.0,5.3,.563,.492,0.5,0.7,.700,0.6,2.2,2.8,1.5,0.9,0.1,1.2,2.4,8.3
6,Kyle Kuzma\kuzmaky01,24,20,1,23.1,4.1,9.4,.433,1.6,4.5,.360,2.5,4.9,.500,.519,1.4,2.0,.692,0.4,3.0,3.4,0.9,0.3,0.4,1.8,1.7,11.1
7,Rajon Rondo\rondora01,33,17,0,21.6,2.9,6.9,.415,1.2,2.9,.429,1.6,4.1,.406,.504,0.7,1.0,.706,0.4,3.2,3.6,5.6,1.1,0.1,2.0,1.2,7.7
8,Alex Caruso\carusal01,25,27,0,20.4,2.0,4.6,.444,0.7,2.1,.351,1.3,2.5,.522,.524,0.6,0.9,.680,0.2,1.9,2.1,1.8,1.0,0.3,1.0,1.6,5.4
9,Dwight Howard\howardw01,34,29,0,20.0,2.8,3.8,.743,0.0,0.1,.333,2.8,3.7,.755,.748,1.2,2.5,.479,2.1,4.8,6.9,0.7,0.4,1.3,1.2,3.6,6.8
10,JaVale McGee\mcgeeja01,32,29,29,16.6,3.2,5.0,.637,0.0,0.0,,3.2,5.0,.637,.637,0.7,1.1,.636,2.0,4.1,6.1,0.6,0.6,1.3,0.9,2.3,7.1
11,Quinn Cook\cookqu01,26,20,0,13.4,2.1,4.9,.429,0.6,1.8,.343,1.5,3.2,.476,.490,0.2,0.3,.800,0.2,1.0,1.2,1.5,0.3,0.1,0.8,0.6,5.0
12,Troy Daniels\danietr01,28,22,0,13.3,1.6,4.4,.365,1.1,3.2,.338,0.5,1.1,.440,.490,0.2,0.3,.571,0.2,1.1,1.3,0.4,0.3,0.0,0.3,0.7,4.5
13,Jared Dudley\dudleja01,34,20,1,8.7,0.5,1.3,.385,0.5,1.0,.526,0.0,0.4,.000,.577,0.1,0.1,1.000,0.1,0.8,0.9,0.7,0.4,0.1,0.2,1.0,1.6
14,Zach Norvell\norveza01,22,2,0,2.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
15,Talen Horton-Tucker\hortota01,19,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,Kostas Antetokounmpo\antetko01,22,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
