Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Aaron Gordon\gordoaa01,24,26,26,31.4,4.9,12.1,.406,1.2,3.9,.294,3.8,8.2,.460,.454,2.2,3.1,.704,1.8,5.2,7.0,2.9,0.7,0.5,1.4,2.1,13.2
2,Nikola Vučević\vucevni01,29,18,18,31.1,6.8,15.4,.444,1.2,3.9,.300,5.7,11.5,.493,.482,2.6,3.1,.839,2.7,8.4,11.2,3.4,0.9,1.0,1.2,1.9,17.4
3,Evan Fournier\fournev01,27,29,29,30.6,6.9,14.6,.476,2.8,6.5,.423,4.2,8.0,.519,.571,3.0,3.7,.821,0.1,2.5,2.7,3.2,0.9,0.2,1.9,2.3,19.6
4,Jonathan Isaac\isaacjo01,22,27,27,30.4,4.7,10.3,.455,1.1,3.1,.345,3.6,7.2,.503,.507,1.9,2.3,.806,1.6,5.4,7.0,1.3,1.3,2.6,1.6,2.4,12.3
5,Markelle Fultz\fultzma01,21,28,23,26.0,4.8,10.0,.475,0.4,1.6,.250,4.4,8.4,.517,.495,1.7,2.3,.762,0.4,2.3,2.7,4.1,1.2,0.2,1.8,2.0,11.6
6,D.J. Augustin\augusdj01,32,29,6,25.9,3.4,8.5,.398,1.2,3.6,.327,2.2,4.9,.451,.467,2.5,2.8,.901,0.4,2.0,2.4,4.7,0.7,0.0,1.3,1.1,10.4
7,Terrence Ross\rosste01,28,27,0,24.5,4.4,10.9,.405,2.0,6.0,.329,2.4,4.9,.496,.495,1.8,2.1,.842,0.3,2.4,2.7,1.0,0.9,0.3,1.1,1.7,12.6
8,Khem Birch\birchkh01,27,17,11,22.2,1.6,3.4,.483,0.0,0.1,.000,1.6,3.4,.491,.483,0.8,1.5,.500,1.9,3.4,5.3,1.1,0.6,0.8,0.6,2.4,4.1
9,Al-Farouq Aminu\aminual01,29,18,2,21.1,1.4,4.8,.291,0.5,2.0,.250,0.9,2.8,.320,.343,1.1,1.6,.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3
10,Michael Carter-Williams\cartemi01,28,19,0,16.3,1.8,4.9,.376,0.4,1.6,.233,1.5,3.3,.444,.414,1.2,1.6,.710,0.9,2.2,3.2,2.0,1.1,0.4,0.9,1.4,5.2
11,Mo Bamba\bambamo01,21,27,0,15.5,2.4,5.4,.445,0.7,2.0,.370,1.7,3.4,.489,.514,0.4,0.6,.667,1.5,3.7,5.3,0.6,0.3,1.2,1.0,2.0,5.9
12,Wesley Iwundu\iwundwe01,25,15,3,13.4,1.1,3.2,.333,0.1,0.9,.077,1.0,2.3,.429,.344,1.1,1.3,.850,0.5,1.5,2.0,0.9,0.5,0.2,0.4,0.7,3.3
13,Josh Magette\magetjo01,30,3,0,3.3,0.7,2.0,.333,0.0,0.0,,0.7,2.0,.333,.333,0.3,0.7,.500,0.3,0.7,1.0,0.7,0.7,0.0,1.0,0.0,1.7
14,B.J. Johnson\johnsbj01,24,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Melvin Frazier\frazime01,23,6,0,2.8,0.5,1.7,.300,0.3,0.7,.500,0.2,1.0,.167,.400,0.0,0.0,,0.2,0.2,0.3,0.2,0.0,0.0,0.0,0.5,1.3
16,Amile Jefferson\jeffeam01,26,7,0,2.7,0.4,0.6,.750,0.0,0.0,,0.4,0.6,.750,.750,0.0,0.3,.000,0.4,0.6,1.0,0.3,0.0,0.0,0.3,0.4,0.9
