Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Luka Dončić\doncilu01,20,25,25,32.2,9.4,19.6,.481,3.0,9.3,.326,6.4,10.3,.620,.558,7.4,9.2,.803,1.3,8.3,9.6,8.9,1.2,0.1,4.4,2.3,29.3
2,Kristaps Porziņģis\porzikr01,24,27,27,31.1,6.3,15.6,.407,2.0,6.1,.333,4.3,9.4,.455,.473,2.9,4.0,.720,1.8,7.7,9.5,1.4,0.6,2.1,1.6,3.1,17.6
3,Dorian Finney-Smith\finnedo01,26,28,25,28.1,3.1,6.6,.468,1.3,3.7,.350,1.8,3.0,.614,.565,1.1,1.5,.721,1.8,3.4,5.2,1.3,0.7,0.5,1.0,2.0,8.6
4,Tim Hardaway\hardati02,27,28,15,25.9,4.6,11.2,.414,2.6,6.9,.375,2.1,4.4,.475,.529,1.7,2.1,.797,0.3,2.2,2.5,1.7,0.6,0.1,0.8,1.8,13.5
5,Dwight Powell\poweldw01,28,25,22,25.6,3.1,5.0,.619,0.3,0.9,.318,2.8,4.2,.683,.647,1.5,2.4,.617,1.5,3.5,5.0,1.4,0.8,0.5,0.8,2.5,8.0
6,Maxi Kleber\klebima01,28,27,5,24.3,2.9,6.3,.462,1.4,3.7,.384,1.5,2.6,.571,.574,1.2,1.3,.889,1.5,3.7,5.2,1.0,0.3,0.7,0.7,2.2,8.4
7,Seth Curry\curryse01,29,26,9,21.9,3.5,7.3,.481,1.8,4.3,.414,1.7,3.0,.577,.603,1.4,1.5,.925,0.5,1.7,2.2,1.8,0.5,0.2,1.1,1.7,10.2
8,Delon Wright\wrighde01,27,26,2,20.5,2.7,5.5,.500,0.5,1.5,.368,2.2,4.0,.548,.549,1.4,1.6,.857,0.8,2.7,3.5,3.3,1.4,0.3,0.7,1.2,7.4
9,Jalen Brunson\brunsja01,23,28,6,17.8,3.3,6.8,.479,0.8,2.2,.339,2.5,4.6,.547,.534,1.0,1.4,.737,0.5,2.2,2.7,3.6,0.5,0.0,1.1,1.3,8.3
10,Justin Jackson\jacksju01,24,26,0,14.3,2.3,5.2,.440,0.9,2.5,.364,1.3,2.6,.515,.530,0.5,0.7,.737,0.4,2.0,2.3,0.5,0.2,0.1,0.2,1.2,6.0
11,J.J. Barea\bareajo01,35,7,0,13.9,3.6,8.0,.446,1.7,3.1,.545,1.9,4.9,.382,.554,0.3,0.3,1.000,0.3,1.4,1.7,3.1,0.3,0.1,0.7,0.7,9.1
12,Boban Marjanović\marjabo01,31,12,1,11.3,2.6,4.7,.554,0.0,0.1,.000,2.6,4.6,.564,.554,1.1,1.5,.722,1.3,3.4,4.7,0.6,0.2,0.3,0.8,1.7,6.3
13,Courtney Lee\leeco01,34,8,3,8.6,1.6,2.8,.591,0.9,1.5,.583,0.8,1.3,.600,.750,0.0,0.0,,0.0,0.4,0.4,0.4,0.0,0.3,0.3,0.6,4.1
14,Ryan Broekhoff\broekry01,29,7,0,6.6,1.1,2.3,.500,1.0,1.6,.636,0.1,0.7,.200,.719,0.3,0.4,.667,0.0,1.1,1.1,0.4,0.1,0.0,0.3,0.6,3.6
