Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Kyrie Irving\irvinky01,27,11,11,33.8,10.2,22.9,.444,2.8,8.3,.341,7.4,14.6,.503,.506,5.4,5.7,.937,0.9,4.5,5.4,7.2,1.1,0.5,2.4,2.9,28.5
2,Caris LeVert\leverca01,25,9,9,31.6,6.6,15.6,.421,1.4,4.0,.361,5.1,11.6,.442,.468,2.2,3.4,.645,1.1,3.9,5.0,4.0,0.7,0.1,3.4,2.2,16.8
3,Joe Harris\harrijo01,28,28,28,31.4,5.5,11.4,.487,2.7,6.2,.437,2.8,5.1,.549,.607,0.9,1.1,.806,0.9,3.1,4.0,2.1,0.6,0.3,1.4,2.5,14.7
4,Taurean Waller-Prince\princta02,25,28,28,30.6,4.5,11.7,.384,2.5,6.6,.375,2.0,5.1,.396,.489,1.0,1.3,.750,0.8,5.6,6.5,2.2,0.9,0.4,2.1,2.8,12.4
5,Spencer Dinwiddie\dinwisp01,26,28,17,30.4,7.4,17.0,.433,1.9,6.3,.307,5.4,10.7,.507,.489,5.4,6.5,.831,0.2,2.5,2.8,6.2,0.9,0.4,2.7,3.3,22.1
6,Garrett Temple\templga01,33,28,19,28.8,3.6,9.4,.389,2.1,6.4,.333,1.5,2.9,.512,.504,1.0,1.3,.784,0.5,2.6,3.1,2.5,0.9,0.5,1.2,2.0,10.5
7,Jarrett Allen\allenja01,21,28,25,26.7,4.9,7.4,.667,0.0,0.0,.000,4.9,7.4,.670,.667,2.7,4.3,.625,3.6,7.0,10.6,1.4,0.7,1.4,1.2,2.5,12.5
8,DeAndre Jordan\jordade01,31,25,3,21.1,3.3,4.9,.667,0.0,0.0,,3.3,4.9,.667,.667,1.5,2.2,.673,2.5,7.0,9.6,2.1,0.4,1.0,1.1,2.1,8.0
9,Wilson Chandler\chandwi01,32,3,0,20.0,2.3,4.7,.500,0.3,2.0,.167,2.0,2.7,.750,.536,0.7,0.7,1.000,0.0,4.7,4.7,1.3,0.7,0.3,1.0,2.3,5.7
10,Iman Shumpert\shumpim01,29,13,0,18.5,1.6,4.9,.328,0.6,2.5,.242,1.0,2.4,.419,.391,0.3,0.5,.571,0.7,1.9,2.6,0.9,0.9,0.2,0.8,1.6,4.2
11,Timothé Luwawu-Cabarrot\luwawti01,24,6,0,14.0,1.3,4.0,.333,0.2,1.5,.111,1.2,2.5,.467,.354,0.8,1.0,.833,0.0,1.5,1.5,0.2,0.2,0.0,0.8,1.0,3.7
12,Theo Pinson\pinsoth01,24,19,0,13.9,1.7,5.9,.286,0.6,2.9,.200,1.1,3.0,.368,.335,0.7,0.7,.929,0.4,1.7,2.1,1.9,0.5,0.1,1.4,1.3,4.6
13,Džanan Musa\musadz01,20,22,0,13.7,1.4,4.5,.316,0.4,2.2,.184,1.0,2.2,.449,.362,1.0,1.4,.742,0.5,1.9,2.3,1.1,0.4,0.0,1.1,0.8,4.3
14,David Nwaba\nwabada01,27,20,0,13.4,1.9,3.6,.521,0.6,1.4,.429,1.3,2.2,.581,.606,0.9,1.4,.667,0.4,1.9,2.3,0.4,0.6,0.6,0.4,1.6,5.2
15,Nicolas Claxton\claxtni01,20,9,0,13.2,1.2,2.3,.524,0.0,0.6,.000,1.2,1.8,.688,.524,0.6,1.3,.417,0.9,1.6,2.4,1.2,0.1,0.6,0.7,1.1,3.0
16,Rodions Kurucs\kurucro01,21,13,0,9.5,0.8,2.2,.345,0.3,0.8,.400,0.5,1.5,.316,.414,0.2,0.6,.375,0.5,1.9,2.5,0.3,0.5,0.1,1.2,1.5,2.1
17,Henry Ellenson\ellenhe01,23,3,0,3.3,0.3,1.7,.200,0.0,0.7,.000,0.3,1.0,.333,.200,0.0,0.0,,0.7,0.7,1.3,0.0,0.0,0.0,0.0,0.3,0.7
