Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Will Barton\bartowi01,29,25,25,32.9,5.6,12.3,.458,1.8,4.4,.413,3.8,8.0,.482,.531,1.6,2.2,.722,1.5,5.3,6.8,3.3,1.1,0.4,1.4,2.1,14.6
2,Gary Harris\harriga01,25,27,27,32.5,4.1,9.8,.419,1.5,4.3,.345,2.6,5.5,.477,.494,1.3,1.6,.814,0.6,2.4,3.0,2.2,1.1,0.3,1.0,2.2,11.0
3,Jamal Murray\murraja01,22,27,27,31.9,6.7,15.2,.438,1.7,5.1,.333,5.0,10.1,.491,.494,2.9,3.2,.895,0.9,3.5,4.4,4.4,1.4,0.3,2.3,1.7,17.9
4,Nikola Jokić\jokicni01,24,27,27,31.4,7.0,14.4,.487,1.1,4.1,.279,5.9,10.3,.570,.527,2.0,2.6,.786,2.2,7.9,10.1,6.8,1.0,0.6,2.5,3.0,17.3
5,Paul Millsap\millspa01,34,25,25,25.3,4.4,9.1,.480,1.1,2.3,.466,3.3,6.8,.485,.540,2.8,3.2,.877,2.0,4.0,6.0,1.3,0.8,0.8,1.3,2.7,12.6
6,Jerami Grant\grantje01,25,27,2,22.8,3.5,7.7,.457,1.3,3.4,.391,2.2,4.3,.509,.543,1.2,2.0,.611,0.5,2.9,3.4,1.0,0.5,0.6,0.9,1.9,9.6
7,Monte Morris\morrimo01,24,27,0,17.6,2.7,6.4,.428,0.5,1.3,.389,2.2,5.1,.438,.468,0.9,1.2,.758,0.2,1.3,1.6,3.4,0.6,0.3,0.7,0.8,6.9
8,Mason Plumlee\plumlma01,29,27,0,17.1,2.7,4.7,.578,0.0,0.1,.000,2.7,4.6,.597,.578,1.2,2.3,.524,1.8,3.9,5.7,2.4,0.6,0.8,1.5,2.3,6.7
9,Malik Beasley\beaslma01,23,20,0,15.4,2.3,6.0,.383,1.3,3.0,.417,1.1,3.0,.350,.488,0.3,0.4,.857,0.3,1.2,1.5,0.9,0.4,0.2,0.9,1.1,6.2
10,Juan Hernangómez\hernaju01,24,16,0,13.9,1.5,3.9,.381,0.8,2.4,.308,0.8,1.5,.500,.476,0.4,0.8,.538,0.6,1.9,2.5,0.7,0.1,0.2,0.6,0.9,4.2
11,Torrey Craig\craigto01,29,20,2,12.9,1.2,3.0,.400,0.4,1.4,.250,0.9,1.6,.531,.458,0.3,0.6,.545,0.6,1.5,2.1,0.8,0.4,0.6,0.4,1.8,3.1
12,Michael Porter\portemi01,21,18,0,9.0,1.8,4.2,.427,0.4,1.3,.292,1.4,2.8,.490,.473,0.4,0.6,.727,0.9,1.9,2.9,0.4,0.1,0.3,0.7,1.1,4.4
13,Jarred Vanderbilt\vandeja01,20,3,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.0,0.3,0.0,0.0
14,Vlatko Čančar\cancavl01,22,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
