Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Domantas Sabonis\sabondo01,23,27,27,34.3,7.1,13.9,.513,0.2,1.0,.214,6.9,12.8,.538,.521,3.5,4.6,.758,3.4,9.8,13.2,3.9,0.7,0.6,2.7,3.8,17.9
2,T.J. Warren\warretj01,26,29,29,32.4,7.1,14.2,.504,1.2,3.2,.387,5.9,11.0,.538,.547,2.2,2.7,.823,0.8,2.8,3.5,1.1,1.0,0.4,1.3,2.6,17.8
3,Malcolm Brogdon\brogdma01,27,25,25,31.5,6.6,14.4,.462,1.5,4.3,.346,5.2,10.1,.512,.514,3.9,4.2,.933,0.7,3.9,4.6,7.5,0.9,0.2,2.6,2.1,18.7
4,Jeremy Lamb\lambje01,27,19,19,30.3,5.4,11.7,.457,1.1,3.7,.296,4.3,8.0,.533,.504,2.2,2.6,.820,0.6,4.2,4.7,2.4,1.2,0.6,1.5,2.2,14.0
5,Myles Turner\turnemy01,23,21,21,29.7,4.2,9.6,.436,1.4,4.3,.333,2.8,5.3,.518,.510,1.8,2.4,.740,1.4,4.3,5.7,1.2,0.7,2.3,1.5,2.4,11.6
6,Justin Holiday\holidju01,30,29,2,25.1,2.8,6.8,.406,1.6,4.1,.375,1.2,2.7,.455,.520,0.7,0.9,.800,0.5,3.4,3.9,1.6,1.1,0.6,0.6,1.7,7.8
7,Aaron Holiday\holidaa01,23,27,10,21.9,3.7,8.6,.429,1.6,3.7,.420,2.1,4.9,.435,.519,1.0,1.2,.844,0.4,2.2,2.6,2.7,0.9,0.1,1.3,1.6,9.9
8,Doug McDermott\mcderdo01,28,29,0,20.9,3.6,7.6,.470,1.8,3.9,.469,1.7,3.7,.472,.591,0.6,0.8,.773,0.5,2.5,3.0,1.1,0.1,0.1,0.7,2.0,9.5
9,JaKarr Sampson\sampsja02,26,9,7,18.4,2.6,4.6,.561,0.2,1.1,.200,2.3,3.4,.677,.585,0.2,0.8,.286,0.8,1.9,2.7,0.4,0.6,0.7,0.7,2.6,5.6
10,T.J. McConnell\mccontj01,27,27,0,17.9,3.3,6.2,.524,0.1,0.2,.333,3.2,6.0,.531,.530,0.4,0.5,.923,0.5,2.1,2.6,5.0,0.7,0.2,1.4,1.1,7.0
11,Edmond Sumner\sumneed01,24,6,2,15.3,1.7,3.8,.435,0.2,0.8,.200,1.5,3.0,.500,.457,0.5,0.8,.600,0.3,0.5,0.8,2.0,0.8,0.2,0.3,1.8,4.0
12,Naz Mitrou-Long\mitrona01,26,3,0,14.3,2.0,5.3,.375,0.7,3.7,.182,1.3,1.7,.800,.438,0.0,0.0,,0.0,2.0,2.0,2.3,0.3,0.3,0.7,0.3,4.7
13,Goga Bitadze\bitadgo01,20,22,2,10.7,1.3,2.7,.483,0.2,0.6,.286,1.1,2.1,.543,.517,0.6,0.9,.737,0.8,1.8,2.5,0.7,0.0,1.0,0.5,1.7,3.5
14,T.J. Leaf\leaftj01,22,18,1,9.2,1.4,3.3,.433,0.3,0.7,.417,1.2,2.7,.438,.475,0.3,0.4,.625,1.1,2.1,3.2,0.3,0.4,0.2,0.3,0.8,3.4
15,Alize Johnson\johnsal02,23,9,0,4.3,0.6,1.2,.455,0.0,0.0,,0.6,1.2,.455,.455,0.3,0.4,.750,0.7,0.7,1.3,0.2,0.0,0.0,0.1,0.7,1.4
16,Brian Bowen\bowenbr02,21,3,0,3.3,0.3,1.3,.250,0.0,0.3,.000,0.3,1.0,.333,.250,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.0,0.7
