Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTSG
1,Jrue Holidayholidjr01,29,28,28,36.0,7.9,18.0,.438,1.9,5.4,.349,6.0,12.6,.477,.491,2.0,2.9,.671,1.4,3.7,5.1,6.5,1.7,0.8,3.2,2.3,19.6
2,Brandon Ingramingrabr01,22,26,26,33.8,9.0,18.4,.491,2.2,5.7,.388,6.8,12.8,.536,.550,5.0,6.0,.839,0.9,6.1,7.0,3.8,0.8,0.8,3.0,3.1,25.3
3,J.J. Redickredicjj01,35,28,24,29.2,5.0,11.2,.444,3.3,7.1,.462,1.7,4.1,.412,.591,2.6,3.0,.881,0.2,2.8,3.0,2.0,0.4,0.2,1.2,1.7,15.9
4,Josh Harthartjo01,24,23,4,28.2,3.9,9.2,.420,2.3,6.4,.358,1.6,2.8,.563,.545,1.4,1.8,.805,1.0,5.0,6.0,1.5,1.0,0.3,1.3,2.8,11.5
5,Lonzo Ballballlo01,22,22,13,27.8,3.8,10.0,.380,2.0,5.8,.336,1.9,4.2,.441,.477,0.6,1.3,.500,0.9,3.8,4.7,5.3,1.3,0.3,2.7,2.0,10.2
6,Kenrich Williamswillike04,25,28,18,25.1,1.7,4.9,.346,0.9,3.3,.261,0.8,1.6,.523,.434,0.3,0.9,.375,1.6,4.1,5.8,1.8,0.8,0.8,0.7,2.6,4.5
7,Jaxson Hayeshayesja02,19,27,10,21.4,3.3,5.3,.629,0.0,0.1,.250,3.3,5.1,.640,.633,2.2,3.4,.641,1.9,2.9,4.8,0.9,0.7,1.1,0.9,3.1,8.9
8,Derrick Favorsfavorde01,28,14,12,20.9,3.6,6.3,.580,0.1,0.1,.500,3.6,6.1,.581,.585,0.4,0.8,.455,3.3,5.5,8.8,1.9,0.4,0.8,1.4,2.1,7.7
9,E'Twaun Mooremooreet01,30,18,3,19.4,3.4,8.3,.416,1.2,3.2,.379,2.2,5.1,.440,.490,0.8,1.2,.636,0.8,2.3,3.1,1.5,0.5,0.1,0.6,1.6,8.9
10,Jahlil Okaforokafoja01,24,18,8,17.9,3.5,5.7,.612,0.1,0.1,.500,3.4,5.6,.614,.617,1.6,2.4,.651,1.7,3.0,4.7,1.6,0.3,0.8,1.5,2.8,8.6
11,Nicolò Mellimellini01,29,24,3,15.0,1.7,4.3,.394,0.9,3.0,.306,0.8,1.3,.594,.500,0.9,1.1,.808,0.6,1.9,2.5,1.1,0.6,0.2,0.8,1.8,5.2
12,Frank Jacksonjacksfr01,21,23,1,14.3,2.3,6.2,.373,0.9,2.9,.303,1.4,3.3,.434,.444,1.1,1.4,.813,0.2,1.1,1.3,1.0,0.4,0.0,1.0,1.5,6.6
13,Nickeil Alexander-Walkeralexani01,21,25,0,13.4,2.1,6.3,.335,1.1,3.3,.337,1.0,3.0,.333,.424,0.4,0.6,.688,0.2,2.0,2.2,1.8,0.4,0.2,1.0,1.2,5.8
14,Josh Graygrayjo01,26,2,0,11.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,2.5,0.5,1.0
15,Zylan Cheathamcheatzy01,24,2,0,10.0,0.5,2.0,.250,0.0,0.5,.000,0.5,1.5,.333,.250,0.0,0.0,,0.0,1.5,1.5,0.5,0.0,0.0,0.5,1.5,1.0
