Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Andre Drummond\drumman01,26,27,27,33.8,7.4,13.6,.544,0.0,0.5,.000,7.4,13.0,.565,.544,2.9,4.7,.614,4.6,11.9,16.5,2.9,1.9,1.8,3.7,3.7,17.6
2,Luke Kennard\kennalu01,23,27,24,33.0,5.4,12.1,.442,2.6,6.4,.397,2.8,5.7,.494,.547,2.5,2.8,.893,0.3,3.2,3.5,4.1,0.4,0.2,1.4,2.3,15.8
3,Blake Griffin\griffbl01,30,15,15,28.7,5.2,13.9,.373,1.6,5.9,.270,3.6,8.0,.450,.431,4.3,5.5,.783,0.9,3.5,4.4,3.3,0.3,0.4,2.5,1.3,16.3
4,Langston Galloway\gallola01,28,29,6,26.9,3.7,8.6,.435,2.3,5.7,.412,1.4,2.9,.482,.573,1.7,1.9,.893,0.4,1.8,2.1,1.4,0.7,0.3,0.7,1.2,11.5
5,Bruce Brown\brownbr01,23,29,25,26.2,3.2,7.2,.445,0.6,1.7,.347,2.6,5.5,.475,.486,1.3,2.0,.644,1.0,3.4,4.4,3.7,1.0,0.5,1.8,2.8,8.3
6,Tony Snell\snellto01,28,25,23,26.1,2.9,6.4,.453,2.0,4.6,.426,0.9,1.8,.523,.607,0.4,0.4,1.000,0.2,1.7,1.9,1.4,0.4,0.1,0.4,1.7,8.1
7,Derrick Rose\rosede01,31,24,1,24.3,6.7,13.9,.483,0.9,2.8,.313,5.8,11.1,.526,.515,2.2,2.5,.869,0.5,1.6,2.2,6.0,0.8,0.3,2.5,1.0,16.5
8,Markieff Morris\morrima02,30,28,14,22.5,3.9,8.4,.468,1.6,4.0,.393,2.4,4.4,.537,.562,1.2,1.6,.756,0.6,3.5,4.1,1.6,0.6,0.3,1.8,2.4,10.6
9,Reggie Jackson\jacksre01,29,2,2,18.0,2.0,5.5,.364,0.5,2.5,.200,1.5,3.0,.500,.409,0.5,0.5,1.000,0.5,2.0,2.5,4.0,0.0,0.0,0.5,1.0,5.0
10,Sviatoslav Mykhailiuk\mykhasv01,22,24,2,16.6,1.9,4.7,.411,1.5,3.4,.432,0.5,1.3,.355,.567,0.3,0.4,.800,0.2,1.0,1.2,1.2,0.4,0.1,0.9,1.3,5.6
11,Christian Wood\woodch01,24,26,0,15.4,3.3,5.4,.617,0.6,1.3,.429,2.8,4.1,.679,.670,1.8,2.8,.635,1.3,3.6,4.9,0.5,0.3,0.8,1.0,1.0,9.1
12,Thon Maker\makerth01,22,27,2,11.3,1.1,2.1,.517,0.3,0.6,.471,0.8,1.5,.537,.586,1.0,1.6,.591,0.7,1.4,2.1,0.4,0.3,0.6,0.6,1.4,3.5
13,Tim Frazier\fraziti01,29,15,4,9.8,0.7,2.9,.227,0.2,0.9,.214,0.5,2.0,.233,.261,0.9,1.1,.813,0.3,0.6,0.9,3.0,0.5,0.1,0.8,1.3,2.4
14,Sekou Doumbouya\doumbse01,19,5,0,4.2,0.8,2.2,.364,0.0,0.6,.000,0.8,1.6,.500,.364,0.0,0.2,.000,0.0,0.6,0.6,0.0,0.2,0.0,0.2,0.6,1.6
15,Khyri Thomas\thomakh01,23,2,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.5,1.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
16,Jordan Bone\bonejo01,22,3,0,2.0,0.7,1.7,.400,0.0,0.3,.000,0.7,1.3,.500,.400,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.3
