Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,James Harden\hardeja01,30,28,28,37.7,11.0,24.8,.445,5.0,13.8,.362,6.0,11.0,.549,.545,11.4,13.0,.879,1.0,4.8,5.8,7.5,1.9,0.7,4.9,3.4,38.5
2,P.J. Tucker\tuckepj01,34,28,28,36.0,3.4,7.0,.482,1.9,4.7,.412,1.5,2.4,.621,.619,0.8,1.1,.767,1.6,5.8,7.4,1.4,1.4,0.5,1.1,3.4,9.5
3,Russell Westbrook\westbru01,31,25,25,35.0,8.7,20.4,.425,1.2,5.2,.233,7.5,15.2,.491,.455,5.0,6.4,.780,1.6,6.5,8.2,7.1,1.6,0.4,4.5,3.8,23.5
4,Clint Capela\capelca01,25,24,24,33.4,6.4,9.8,.651,0.0,0.0,,6.4,9.8,.651,.651,1.2,2.7,.446,4.1,10.3,14.5,1.1,1.0,2.0,1.7,2.7,14.0
5,Danuel House\houseda01,26,22,20,30.1,3.6,8.2,.436,2.1,5.4,.390,1.5,2.9,.524,.564,1.5,1.9,.762,1.2,2.9,4.1,1.5,1.1,0.5,1.0,2.1,10.7
6,Eric Gordon\gordoer01,31,9,2,29.4,3.8,12.2,.309,2.3,8.2,.284,1.4,4.0,.361,.405,1.0,1.6,.643,0.3,1.6,1.9,0.8,0.6,0.2,1.3,2.3,10.9
7,Austin Rivers\riverau01,27,26,1,24.0,3.0,7.3,.408,1.3,4.1,.321,1.7,3.3,.518,.497,0.8,1.2,.700,0.7,2.0,2.7,1.7,0.5,0.2,0.6,2.0,8.1
8,Ben McLemore\mclembe01,26,28,8,23.5,3.5,8.1,.425,2.5,6.9,.368,0.9,1.3,.743,.581,1.1,1.4,.769,0.3,2.0,2.4,1.0,0.7,0.3,0.8,1.9,10.5
9,Isaiah Hartenstein\harteis01,21,9,0,11.4,1.2,1.8,.688,0.0,0.1,.000,1.2,1.7,.733,.688,1.0,1.2,.818,0.9,2.0,2.9,0.6,0.3,0.4,0.7,1.9,3.4
10,Gary Clark\clarkga01,25,13,0,11.2,1.2,3.3,.349,0.8,2.8,.306,0.3,0.5,.571,.477,0.5,0.5,.857,0.6,1.6,2.2,0.6,0.1,0.5,0.1,1.2,3.6
11,Thabo Sefolosha\sefolth01,35,22,0,10.1,0.7,2.2,.333,0.4,1.3,.276,0.4,0.9,.421,.417,0.0,0.0,.000,0.5,1.6,2.2,0.7,0.4,0.2,0.3,1.0,1.8
12,Tyson Chandler\chandty01,37,19,4,8.9,0.7,0.9,.765,0.0,0.0,,0.7,0.9,.765,.765,0.3,0.5,.556,1.1,1.7,2.8,0.3,0.3,0.4,0.3,1.3,1.6
13,Chris Clemons\clemoch01,22,19,0,8.5,1.7,4.1,.429,1.3,3.3,.387,0.5,0.8,.600,.584,0.2,0.2,.750,0.1,0.6,0.7,0.3,0.3,0.2,0.4,0.8,4.9
14,Ryan Anderson\anderry01,31,2,0,7.0,1.0,3.5,.286,0.5,2.5,.200,0.5,1.0,.500,.357,0.0,0.0,,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5
