Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,DeMar DeRozan\derozde01,30,27,27,34.2,7.9,16.0,.494,0.2,0.7,.278,7.7,15.3,.504,.500,4.6,5.7,.800,0.6,4.9,5.5,4.8,0.9,0.4,2.6,2.9,20.6
2,LaMarcus Aldridge\aldrila01,34,25,25,33.5,7.6,15.2,.501,0.6,1.7,.326,7.0,13.4,.524,.520,3.1,3.7,.828,2.1,5.3,7.4,2.4,0.6,1.9,1.5,2.2,18.8
3,Bryn Forbes\forbebr01,26,27,27,26.0,4.2,10.5,.399,2.3,6.4,.358,1.9,4.1,.464,.509,1.3,1.5,.850,0.3,2.1,2.4,1.8,0.5,0.0,0.8,2.0,11.9
4,Derrick White\whitede01,25,25,10,24.0,3.5,7.4,.476,1.0,2.3,.421,2.6,5.1,.500,.541,2.0,2.6,.797,0.5,2.1,2.6,2.9,0.6,0.6,1.3,2.4,10.0
5,Patty Mills\millspa02,31,27,1,23.8,4.1,9.0,.459,2.3,5.3,.434,1.9,3.7,.495,.586,1.4,1.8,.771,0.2,1.3,1.5,2.2,0.9,0.2,1.0,1.6,12.0
6,Dejounte Murray\murrade01,23,24,16,23.1,4.1,8.7,.476,0.3,1.3,.200,3.9,7.4,.522,.490,1.8,2.3,.782,1.2,4.8,6.0,4.1,1.8,0.3,2.2,2.3,10.3
7,Rudy Gay\gayru01,33,27,5,23.0,4.0,9.1,.437,0.9,3.2,.267,3.1,5.9,.528,.484,2.1,2.3,.889,1.2,4.8,6.0,1.9,0.5,0.6,1.7,1.5,10.9
8,Jakob Pöltl\poeltja01,24,27,7,18.5,2.4,4.1,.589,0.0,0.0,,2.4,4.1,.589,.589,0.8,1.4,.579,2.2,3.7,5.9,1.7,0.6,1.4,0.9,1.7,5.7
9,Trey Lyles\lylestr01,24,27,17,16.6,1.7,3.9,.429,0.7,2.2,.339,0.9,1.7,.543,.524,0.3,0.5,.615,1.2,4.5,5.7,1.2,0.3,0.3,0.7,1.1,4.4
10,Marco Belinelli\belinma01,33,25,0,16.2,2.0,5.8,.338,0.9,2.9,.319,1.0,2.9,.356,.417,0.7,0.9,.739,0.0,1.6,1.6,1.4,0.2,0.0,0.4,0.8,5.5
11,DeMarre Carroll\carrode01,33,11,0,10.9,0.6,2.3,.280,0.3,1.1,.250,0.4,1.2,.308,.340,0.9,1.3,.714,0.6,2.0,2.6,0.9,0.2,0.2,0.8,1.5,2.5
12,Lonnie Walker\walkelo01,21,20,0,9.9,1.9,4.2,.446,0.4,1.0,.400,1.5,3.2,.460,.494,0.7,1.1,.591,0.4,1.4,1.7,0.6,0.3,0.2,0.5,1.0,4.8
13,Drew Eubanks\eubandr01,22,4,0,7.8,1.3,2.5,.500,0.0,0.0,,1.3,2.5,.500,.500,0.3,0.3,1.000,1.3,2.0,3.3,0.5,0.0,0.3,1.0,1.0,2.8
14,Chimezie Metu\metuch01,22,7,0,3.1,1.1,1.9,.615,0.0,0.0,,1.1,1.9,.615,.615,0.3,0.6,.500,1.1,0.7,1.9,0.3,0.0,0.3,0.0,0.0,2.6
15,Keldon Johnson\johnske04,20,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
