Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Devin Booker\bookede01,23,25,25,35.6,8.8,17.2,.508,2.2,5.4,.400,6.6,11.8,.557,.571,5.1,5.6,.901,0.6,3.3,3.9,6.3,0.6,0.3,3.8,3.0,24.8
2,Kelly Oubre\oubreke01,24,28,28,32.8,6.1,13.9,.442,1.6,4.9,.338,4.5,9.0,.498,.501,3.6,4.5,.794,1.3,4.7,5.9,1.4,1.4,0.8,1.7,3.3,17.5
3,Ricky Rubio\rubiori01,29,23,23,31.8,4.9,12.3,.399,1.1,3.7,.306,3.8,8.6,.439,.445,2.7,3.1,.847,0.8,3.9,4.7,9.4,1.3,0.2,2.2,2.5,13.6
4,Deandre Ayton\aytonde01,21,2,2,29.0,9.0,16.5,.545,0.0,0.0,,9.0,16.5,.545,.545,0.0,0.5,.000,5.0,6.5,11.5,1.5,0.5,2.5,1.0,2.0,18.0
5,Dario Šarić\saricda01,25,28,28,28.6,4.3,9.6,.444,1.7,4.9,.346,2.6,4.7,.545,.532,1.5,1.7,.872,1.7,5.7,7.4,2.2,0.8,0.4,1.4,2.9,11.6
6,Frank Kaminsky\kaminfr01,26,28,13,23.6,4.1,9.4,.441,1.3,3.8,.340,2.9,5.6,.510,.510,1.8,2.8,.654,1.0,4.3,5.3,2.4,0.5,0.4,1.0,2.3,11.4
7,Aron Baynes\baynear01,33,19,13,22.6,4.9,9.3,.531,1.6,4.3,.383,3.3,5.1,.656,.619,1.6,2.3,.721,1.4,3.9,5.3,2.3,0.3,0.8,1.3,4.1,13.2
8,Mikal Bridges\bridgmi01,23,28,3,21.9,2.4,5.0,.475,0.5,1.7,.277,1.9,3.4,.574,.521,1.5,1.9,.796,0.9,3.1,4.0,1.3,1.3,0.4,0.9,1.9,6.8
9,Cameron Johnson\johnsca02,23,25,0,21.0,3.2,7.2,.436,2.0,4.9,.407,1.2,2.3,.500,.575,0.8,1.0,.840,1.0,2.2,3.2,1.0,0.6,0.3,0.7,1.6,9.2
10,Tyler Johnson\johnsty01,27,20,3,19.0,2.2,5.8,.379,0.9,2.9,.310,1.3,2.9,.448,.457,1.0,1.3,.769,0.3,1.6,1.8,2.1,0.4,0.4,1.0,1.5,6.3
11,Jevon Carter\carteje01,24,19,2,14.5,1.4,3.9,.360,0.8,2.3,.349,0.6,1.7,.375,.460,0.3,0.3,1.000,0.5,1.5,2.1,1.6,0.8,0.3,0.8,1.6,3.9
12,Ty Jerome\jeromty01,22,8,0,13.4,1.3,4.9,.256,0.5,1.9,.267,0.8,3.0,.250,.308,0.4,0.4,1.000,0.3,1.4,1.6,2.3,1.4,0.0,0.9,1.3,3.4
13,Elie Okobo\okoboel01,22,20,0,11.1,1.7,3.9,.423,0.6,1.5,.367,1.1,2.4,.458,.494,1.0,1.6,.625,0.2,0.9,1.1,2.3,0.5,0.1,0.5,0.9,4.9
14,Cheick Diallo\diallch01,23,19,0,9.9,2.4,3.4,.703,0.1,0.1,1.000,2.3,3.3,.698,.711,0.9,1.0,.895,0.7,2.2,2.9,0.5,0.1,0.2,0.6,1.1,5.7
15,Jared Harper\harpeja01,22,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
