Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Shai Gilgeous-Alexander\gilgesh01,21,28,28,35.1,6.7,15.1,.445,1.3,3.7,.350,5.4,11.4,.476,.488,3.9,4.9,.796,0.6,4.5,5.1,2.9,1.0,0.5,2.1,1.9,18.6
2,Chris Paul\paulch01,34,28,28,31.3,5.3,11.2,.475,1.6,4.1,.379,3.8,7.1,.530,.545,4.0,4.5,.896,0.3,4.1,4.4,6.3,1.7,0.2,1.8,2.4,16.2
3,Danilo Gallinari\gallida01,31,27,27,30.5,5.6,12.9,.432,2.8,7.0,.395,2.8,5.8,.478,.540,4.1,4.6,.903,0.5,5.1,5.7,2.2,0.7,0.1,1.4,1.4,18.0
4,Dennis Schröder\schrode01,26,28,0,29.8,6.8,14.6,.468,1.6,4.9,.338,5.2,9.7,.533,.525,2.5,2.9,.841,0.3,3.6,3.9,3.7,0.7,0.4,3.0,2.3,17.8
5,Steven Adams\adamsst01,26,25,25,27.4,4.8,7.8,.621,0.0,0.0,.000,4.8,7.8,.624,.621,1.4,2.9,.500,3.3,6.3,9.6,2.8,0.4,1.3,1.6,1.9,11.1
6,Terrance Ferguson\fergute01,21,22,22,26.0,2.0,4.7,.433,1.3,3.5,.377,0.7,1.2,.593,.572,0.3,0.4,.778,0.5,1.2,1.7,1.0,0.5,0.3,0.7,3.3,5.7
7,Hamidou Diallo\diallha01,21,12,1,21.3,3.8,7.7,.500,0.2,1.1,.154,3.7,6.6,.557,.511,0.9,1.5,.611,1.2,2.7,3.8,0.8,1.5,0.3,1.2,2.4,8.8
8,Nerlens Noel\noelne01,25,27,3,18.6,3.0,4.7,.651,0.0,0.0,,3.0,4.7,.651,.651,1.7,2.1,.821,1.3,3.5,4.9,1.3,1.0,1.4,1.0,2.7,7.8
9,Abdel Nader\naderab01,26,21,5,18.3,2.5,5.1,.491,1.1,2.6,.436,1.4,2.5,.547,.602,1.1,1.4,.793,0.4,1.5,1.9,0.6,0.4,0.3,1.0,1.5,7.3
10,Darius Bazley\bazleda01,19,28,1,16.4,1.4,3.8,.362,0.6,1.9,.308,0.8,1.9,.415,.438,0.5,0.7,.650,0.3,3.1,3.5,0.5,0.4,0.6,0.9,1.0,3.8
11,Luguentz Dort\dortlu01,20,5,0,16.2,1.0,3.2,.313,0.0,1.8,.000,1.0,1.4,.714,.313,0.6,1.0,.600,0.0,1.4,1.4,0.4,0.4,0.0,0.4,2.4,2.6
12,Mike Muscala\muscami01,28,18,0,10.0,1.1,3.4,.311,0.7,2.6,.261,0.4,0.8,.467,.410,0.4,0.4,.875,0.3,1.7,2.0,0.8,0.2,0.2,0.3,1.2,3.2
13,Deonte Burton\burtode02,26,13,0,7.8,1.1,2.6,.412,0.4,1.3,.294,0.7,1.3,.529,.485,0.2,0.3,.750,0.2,1.4,1.6,0.3,0.1,0.1,0.3,0.8,2.8
14,Justin Patton\pattoju01,22,2,0,4.5,0.5,1.5,.333,0.0,0.5,.000,0.5,1.0,.500,.333,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.5,2.0,1.0
15,Devon Hall\hallde01,24,5,0,4.0,0.2,1.0,.200,0.0,0.4,.000,0.2,0.6,.333,.200,0.6,0.8,.750,0.0,0.2,0.2,0.6,0.0,0.0,0.2,0.2,1.0
