Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Andrew Wiggins\wiggian01,24,23,23,35.4,9.3,20.3,.455,2.2,6.6,.329,7.1,13.7,.516,.509,4.1,5.5,.748,1.3,3.8,5.1,3.3,0.8,1.1,2.2,2.4,24.8
2,Karl-Anthony Towns\townska01,24,23,23,33.9,9.0,17.5,.514,3.6,8.5,.418,5.4,9.0,.604,.615,4.9,6.2,.796,2.7,9.0,11.7,4.4,1.0,1.3,3.1,3.5,26.5
3,Jeff Teague\teaguje01,31,23,13,29.7,4.4,9.8,.449,1.0,2.7,.381,3.3,7.0,.475,.502,4.1,4.8,.864,0.5,2.2,2.7,6.7,0.9,0.3,2.2,2.1,14.0
4,Robert Covington\covinro01,29,26,25,28.0,4.3,9.7,.440,2.0,6.0,.342,2.2,3.7,.598,.546,1.9,2.2,.875,0.7,4.7,5.4,1.1,1.5,0.8,1.5,3.1,12.5
5,Jake Layman\laymaja01,25,14,2,26.4,4.4,9.4,.462,1.4,3.9,.352,3.0,5.6,.538,.534,0.4,0.7,.600,0.9,2.1,2.9,0.8,0.9,0.7,1.3,2.2,10.5
6,Josh Okogie\okogijo01,21,25,10,25.2,2.6,6.4,.410,0.8,2.8,.290,1.8,3.7,.500,.472,2.6,3.2,.790,1.3,3.5,4.8,1.6,0.9,0.4,1.5,2.3,8.6
7,Jarrett Culver\culveja01,20,26,15,22.8,3.3,9.0,.366,0.9,3.7,.242,2.4,5.4,.450,.415,0.9,2.0,.434,1.1,2.2,3.3,2.2,0.9,0.5,1.2,2.0,8.4
8,Treveon Graham\grahatr01,26,26,18,20.2,2.0,5.7,.342,0.6,2.7,.214,1.4,3.0,.456,.393,0.8,1.1,.714,0.9,2.3,3.3,0.9,0.6,0.1,0.5,2.0,5.3
9,Keita Bates-Diop\bateske01,24,15,0,18.5,2.7,5.5,.488,1.2,2.8,.429,1.5,2.7,.550,.598,0.5,0.9,.538,0.5,2.2,2.7,0.5,0.3,0.4,0.3,0.9,7.0
10,Shabazz Napier\napiesh01,28,15,1,17.7,2.1,6.1,.352,0.8,3.8,.211,1.3,2.3,.588,.418,1.6,1.9,.828,0.2,1.8,2.0,3.4,1.0,0.3,1.5,1.0,6.7
11,Jordan McLaughlin\mclaujo01,23,4,0,14.3,1.0,3.8,.267,0.3,2.0,.125,0.8,1.8,.429,.300,0.5,0.5,1.000,0.3,1.5,1.8,2.0,0.3,0.0,1.0,1.0,2.8
12,Kelan Martin\martike03,24,9,0,13.7,1.7,4.9,.341,0.6,2.7,.208,1.1,2.2,.500,.398,0.0,0.0,,0.2,2.7,2.9,0.3,0.1,0.1,0.4,2.2,3.9
13,Gorgui Dieng\dienggo01,30,23,4,13.4,2.0,4.5,.452,0.6,1.7,.359,1.4,2.8,.508,.519,0.7,1.0,.667,1.0,3.2,4.2,1.0,0.6,1.0,0.7,1.7,5.4
14,Noah Vonleh\vonleno01,24,18,1,11.9,1.4,2.9,.500,0.1,0.7,.083,1.4,2.2,.625,.510,1.1,1.3,.833,1.3,2.3,3.6,1.0,0.3,0.2,0.9,1.2,4.1
15,Jordan Bell\belljo01,25,17,0,10.4,1.4,2.6,.545,0.0,0.3,.000,1.4,2.3,.615,.545,0.9,1.5,.640,1.2,2.3,3.5,0.7,0.1,0.5,0.9,0.8,3.8
16,Jaylen Nowell\nowelja01,20,3,0,9.7,1.3,2.3,.571,0.0,1.0,.000,1.3,1.3,1.000,.571,0.3,0.3,1.000,0.0,0.3,0.3,1.0,0.0,0.0,0.3,0.3,3.0
17,Naz Reid\reidna01,20,2,0,2.0,0.5,1.0,.500,0.5,1.0,.500,0.0,0.0,,.750,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.5
