Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Damian Lillard\lillada01,29,27,27,36.6,8.4,18.7,.450,3.4,9.1,.368,5.0,9.5,.529,.541,6.7,7.4,.905,0.5,3.8,4.3,7.6,1.0,0.4,3.0,2.0,26.9
2,CJ McCollum\mccolcj01,28,29,29,36.5,8.9,19.2,.461,2.7,6.9,.383,6.2,12.3,.504,.530,1.9,2.3,.824,0.8,3.8,4.6,3.7,0.8,0.8,2.1,2.7,22.3
3,Carmelo Anthony\anthoca01,35,15,15,30.3,5.9,14.3,.414,1.7,4.0,.417,4.3,10.3,.413,.472,2.5,3.0,.822,1.1,5.1,6.2,1.1,1.3,0.9,1.9,2.9,16.0
4,Rodney Hood\hoodro01,27,21,21,29.5,4.1,8.2,.506,1.7,3.4,.493,2.5,4.8,.515,.608,1.0,1.3,.778,0.5,3.0,3.4,1.5,0.8,0.2,0.9,2.2,11.0
5,Hassan Whiteside\whiteha01,30,26,26,28.8,6.5,10.7,.609,0.0,0.1,.500,6.5,10.7,.610,.611,2.6,3.4,.761,3.7,9.4,13.1,1.3,0.4,2.5,2.0,3.0,15.7
6,Zach Collins\colliza01,22,3,3,28.7,3.0,6.3,.474,1.0,2.3,.429,2.0,4.0,.500,.553,2.0,2.0,1.000,1.3,2.7,4.0,2.0,0.0,0.7,2.0,3.7,9.0
7,Kent Bazemore\bazemke01,30,29,8,24.0,2.6,7.4,.352,1.3,3.8,.345,1.3,3.7,.358,.440,1.3,1.7,.813,0.3,3.7,4.0,1.5,0.9,0.7,1.4,2.9,7.9
8,Anfernee Simons\simonan01,20,29,1,21.5,3.6,8.6,.414,1.3,3.9,.333,2.2,4.7,.481,.490,1.1,1.5,.744,0.3,1.7,2.0,1.5,0.4,0.2,1.0,2.1,9.5
9,Skal Labissière\labissk01,23,29,0,17.0,2.3,4.3,.548,0.1,0.3,.200,2.3,3.9,.579,.556,0.8,1.0,.767,2.0,3.1,5.1,1.2,0.2,0.9,0.9,2.7,5.6
10,Mario Hezonja\hezonma01,24,25,4,16.6,1.4,4.0,.350,0.4,1.3,.313,1.0,2.7,.368,.400,1.0,1.2,.828,0.6,3.7,4.3,0.9,0.5,0.1,0.8,2.2,4.2
11,Anthony Tolliver\tollian01,34,21,7,16.1,1.0,3.2,.324,0.8,2.6,.315,0.2,0.7,.357,.449,0.5,0.7,.786,0.6,2.3,2.9,0.8,0.3,0.3,0.7,1.5,3.4
12,Nassir Little\littlna01,19,18,3,15.0,1.7,4.2,.408,0.3,1.7,.167,1.4,2.6,.565,.441,0.8,1.2,.682,1.1,2.3,3.4,0.7,0.4,0.4,0.5,1.9,4.6
13,Gary Trent\trentga02,21,16,1,10.0,1.2,3.3,.358,0.9,2.2,.400,0.3,1.1,.278,.491,0.1,0.1,1.000,0.3,1.0,1.3,0.4,0.3,0.2,0.4,0.9,3.4
14,Moses Brown\brownmo01,20,4,0,3.8,0.8,1.8,.429,0.0,0.0,,0.8,1.8,.429,.429,0.5,1.0,.500,0.5,1.8,2.3,0.0,0.3,0.0,0.3,1.0,2.0
15,Jaylen Hoard\hoardja01,20,5,0,3.6,0.6,1.2,.500,0.0,0.0,,0.6,1.2,.500,.500,0.2,0.4,.500,0.6,0.8,1.4,0.4,0.2,0.0,0.0,0.2,1.4
