Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Glenn Robinson\robingl02,26,30,30,31.7,4.6,10.2,.456,1.3,3.3,.390,3.3,6.8,.488,.520,1.0,1.2,.833,1.5,3.2,4.7,1.6,0.9,0.3,0.9,1.7,11.6
2,D'Angelo Russell\russeda01,23,18,18,31.2,7.8,18.3,.424,3.1,8.8,.348,4.7,9.6,.494,.508,3.3,4.5,.741,0.3,2.9,3.2,6.3,0.9,0.4,3.2,2.2,21.9
3,Eric Paschall\pascher01,23,27,19,29.5,5.7,11.6,.494,0.7,2.3,.286,5.1,9.3,.546,.522,3.3,4.1,.809,1.4,3.5,4.9,1.7,0.4,0.3,1.5,2.0,15.4
4,Alec Burks\burksal01,28,27,11,29.3,5.3,12.3,.426,1.5,4.3,.348,3.8,8.1,.468,.486,3.5,4.0,.888,0.8,3.9,4.6,3.0,1.2,0.3,1.6,2.2,15.5
5,Draymond Green\greendr01,29,20,20,28.9,3.2,7.8,.410,0.7,2.6,.275,2.5,5.3,.476,.455,1.9,2.6,.725,0.4,5.4,5.8,5.7,1.8,0.6,2.2,2.5,9.0
6,Stephen Curry\curryst01,31,4,4,28.0,6.8,16.5,.409,2.3,9.3,.243,4.5,7.3,.621,.477,4.5,4.5,1.000,1.0,4.0,5.0,6.5,1.3,0.5,3.8,2.5,20.3
7,Damion Lee\leeda03,27,16,3,23.5,3.6,9.1,.397,1.2,3.6,.333,2.4,5.6,.438,.462,2.4,2.9,.848,0.8,3.3,4.1,2.0,0.6,0.0,1.0,1.8,10.9
8,Ky Bowman\bowmaky01,22,26,6,22.9,3.4,7.5,.454,1.0,2.5,.415,2.3,5.0,.473,.523,0.8,0.8,.909,0.5,2.2,2.7,2.7,0.9,0.1,1.2,2.1,8.6
9,Willie Cauley-Stein\caulewi01,26,27,26,22.9,3.6,6.4,.557,0.0,0.0,,3.6,6.4,.557,.557,0.9,1.4,.632,1.6,4.9,6.4,1.5,1.2,1.3,1.0,2.9,8.1
10,Jordan Poole\poolejo01,20,28,9,22.3,2.3,8.8,.256,1.1,4.7,.242,1.1,4.1,.272,.321,1.7,2.0,.839,0.1,1.9,2.0,1.9,0.6,0.3,1.1,1.7,7.3
11,Marquese Chriss\chrisma01,22,29,1,17.7,2.6,5.2,.487,0.1,0.7,.200,2.4,4.6,.530,.500,2.1,2.6,.803,1.7,3.7,5.3,1.9,0.7,1.0,1.4,2.0,7.3
12,Omari Spellman\spellom01,22,29,0,17.6,2.5,5.8,.432,0.7,1.9,.352,1.9,4.0,.470,.488,1.3,1.7,.813,2.1,3.1,5.2,0.9,0.6,0.6,1.2,1.0,7.0
13,Jacob Evans\evansja02,22,9,0,14.4,1.4,4.8,.302,0.7,1.3,.500,0.8,3.4,.226,.372,1.1,1.1,1.000,0.2,0.9,1.1,1.0,0.2,0.4,0.9,1.9,4.7
14,Kevon Looney\looneke01,23,9,3,10.7,1.0,3.3,.300,0.1,0.2,.500,0.9,3.1,.286,.317,0.3,0.6,.600,1.6,1.6,3.1,0.3,0.3,0.2,0.7,1.7,2.4
