Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Bradley Beal\bealbr01,26,27,27,37.1,9.4,21.4,.440,2.7,8.0,.332,6.7,13.3,.506,.503,6.4,7.7,.833,1.1,3.7,4.9,7.0,1.0,0.3,3.6,2.6,27.9
2,Dāvis Bertāns\bertada01,27,27,3,29.7,5.1,11.2,.459,3.9,8.7,.447,1.3,2.5,.500,.632,1.4,1.6,.886,0.9,3.9,4.8,1.7,0.6,0.7,0.7,2.5,15.6
3,Rui Hachimura\hachiru01,21,25,25,29.2,5.8,12.1,.482,0.4,1.9,.208,5.4,10.2,.533,.498,1.8,2.2,.852,1.6,4.2,5.8,1.6,0.7,0.1,0.8,2.3,13.9
4,Thomas Bryant\bryanth01,22,18,18,28.4,5.6,10.2,.549,0.6,1.9,.286,5.1,8.3,.611,.576,2.2,2.9,.736,2.3,6.2,8.5,2.7,0.4,1.0,1.3,2.4,13.9
5,Ish Smith\smithis01,31,27,10,25.7,4.1,8.9,.469,1.0,2.5,.388,3.2,6.4,.500,.523,0.7,1.0,.731,0.5,2.4,2.9,4.4,0.8,0.4,1.3,1.6,10.0
6,Isaiah Thomas\thomais02,30,20,17,25.4,5.0,11.1,.450,2.2,5.2,.427,2.8,6.0,.471,.550,1.1,1.4,.786,0.2,1.7,1.8,4.9,0.5,0.3,2.2,2.2,13.3
7,Troy Brown\browntr01,20,24,11,22.9,3.2,7.0,.458,0.5,2.0,.277,2.7,5.0,.529,.497,1.2,1.5,.757,1.4,3.8,5.2,2.2,1.4,0.1,1.1,1.6,8.1
8,Anžejs Pasečņiks\pasecan01,24,2,0,20.5,1.5,5.0,.300,0.0,0.0,,1.5,5.0,.300,.300,1.5,2.0,.750,2.5,3.5,6.0,1.0,0.0,0.0,1.5,2.5,4.5
9,Moritz Wagner\wagnemo01,22,21,4,20.4,4.4,7.6,.581,1.0,2.7,.393,3.4,5.0,.683,.650,1.7,2.0,.837,1.6,4.4,6.0,1.3,0.7,0.6,2.0,3.9,11.6
10,Ian Mahinmi\mahinia01,33,7,4,19.0,2.9,5.1,.556,0.0,0.3,.000,2.9,4.9,.588,.556,2.0,2.9,.700,2.0,3.3,5.3,1.0,0.3,1.4,1.6,3.4,7.7
11,Jordan McRae\mcraejo01,28,13,0,18.1,3.3,7.0,.473,1.0,2.5,.394,2.3,4.5,.517,.544,1.3,1.5,.895,0.2,2.2,2.4,2.8,0.6,0.3,1.1,2.0,8.9
12,Isaac Bonga\bongais01,20,22,16,16.2,1.3,2.9,.460,0.2,0.8,.294,1.1,2.1,.522,.500,0.7,1.0,.714,0.8,1.9,2.7,1.2,0.6,0.2,0.6,2.1,3.5
13,C.J. Miles\milescj01,32,10,0,16.1,1.9,5.9,.322,1.1,3.5,.314,0.8,2.4,.333,.415,1.5,2.0,.750,0.4,0.8,1.2,1.2,1.0,0.4,0.4,1.4,6.4
14,Chris Chiozza\chiozch01,24,10,0,12.3,1.0,3.4,.294,0.7,1.6,.438,0.3,1.8,.167,.397,0.0,0.0,,0.0,1.5,1.5,2.8,1.0,0.2,0.9,1.2,2.7
15,Admiral Schofield\schofad01,22,14,0,11.1,1.4,2.9,.488,0.7,1.9,.370,0.7,1.0,.714,.610,0.4,0.6,.750,0.2,1.1,1.4,0.6,0.4,0.1,0.3,1.7,4.0
16,Garrison Mathews\mathega01,23,6,0,9.7,0.8,2.0,.417,0.7,1.8,.364,0.2,0.2,1.000,.583,0.7,0.7,1.000,0.5,0.8,1.3,0.7,0.0,0.0,0.3,1.5,3.0
17,Justin Robinson\robinju01,22,6,0,3.3,0.5,1.0,.500,0.2,0.2,1.000,0.3,0.8,.400,.583,0.0,0.0,,0.2,0.3,0.5,0.5,0.0,0.0,0.3,0.0,1.2
